"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
4001,8.1,8.1,91.9,"Aarau (AG)","NA NA"
4002,65.1,65.1,34.9,"Biberstein (AG)","NA NA"
4003,72.7,72.7,27.3,"Buchs (AG)","NA NA"
4004,12.3,12.3,87.7,"Densbüren (AG)","NA NA"
4005,71.8,71.8,28.2,"Erlinsbach (AG)","NA NA"
4006,17.5,17.5,82.5,"Gränichen (AG)","NA NA"
4007,66.9,66.9,33.1,"Hirschthal (AG)","NA NA"
4008,70.9,70.9,29.1,"Küttigen (AG)","NA NA"
4009,80.4,80.4,19.6,"Muhen (AG)","NA NA"
4010,49.3,49.3,50.7,"Oberentfelden (AG)","NA NA"
4012,36.2,36.2,63.8,"Suhr (AG)","NA NA"
4013,38.7,38.7,61.3,"Unterentfelden (AG)","NA NA"
4021,45.9,45.9,54.1,"Baden (AG)","NA NA"
4022,15,15,85,"Bellikon (AG)","NA NA"
4023,69.7,69.7,30.3,"Bergdietikon (AG)","NA NA"
4024,21.9,21.9,78.1,"Birmenstorf (AG)","NA NA"
4026,3.3,3.3,96.7,"Ennetbaden (AG)","NA NA"
4027,76.1,76.1,23.9,"Fislisbach (AG)","NA NA"
4028,64.6,64.6,35.4,"Freienwil (AG)","NA NA"
4029,56,56,44,"Gebenstorf (AG)","NA NA"
4030,51.7,51.7,48.3,"Killwangen (AG)","NA NA"
4031,7.3,7.3,92.7,"Künten (AG)","NA NA"
4032,62.4,62.4,37.6,"Mägenwil (AG)","NA NA"
4033,51.2,51.2,48.8,"Mellingen (AG)","NA NA"
4034,47.2,47.2,52.8,"Neuenhof (AG)","NA NA"
4035,63.6,63.6,36.4,"Niederrohrdorf (AG)","NA NA"
4037,2,2,98,"Oberrohrdorf (AG)","NA NA"
4038,55.4,55.4,44.6,"Obersiggenthal (AG)","NA NA"
4039,42.8,42.8,57.2,"Remetschwil (AG)","NA NA"
4040,48.2,48.2,51.8,"Spreitenbach (AG)","NA NA"
4041,4.1,4.1,95.9,"Stetten (AG)","NA NA"
4044,23.9,23.9,76.1,"Untersiggenthal (AG)","NA NA"
4045,61.6,61.6,38.4,"Wettingen (AG)","NA NA"
4046,17.8,17.8,82.2,"Wohlenschwil (AG)","NA NA"
4047,35,35,65,"Würenlingen (AG)","NA NA"
4048,56.3,56.3,43.7,"Würenlos (AG)","NA NA"
4049,44.4,44.4,55.6,"Ehrendingen (AG)","NA NA"
4061,74.8,74.8,25.2,"Arni (AG)","NA NA"
4062,58.4,58.4,41.6,"Berikon (AG)","NA NA"
4063,44.2,44.2,55.8,"Bremgarten (AG)","NA NA"
4064,14.8,14.8,85.2,"Büttikon (AG)","NA NA"
4065,16.9,16.9,83.1,"Dottikon (AG)","NA NA"
4066,22.9,22.9,77.1,"Eggenwil (AG)","NA NA"
4067,60.6,60.6,39.4,"Fischbach-Göslikon (AG)","NA NA"
4068,33.5,33.5,66.5,"Hägglingen (AG)","NA NA"
4071,56.8,56.8,43.2,"Jonen (AG)","NA NA"
4072,97.5,97.5,2.5,"Niederwil (AG)","NA NA"
4073,48.7,48.7,51.3,"Oberlunkhofen (AG)","NA NA"
4074,45.2,45.2,54.8,"Oberwil-Lieli (AG)","NA NA"
4075,25.6,25.6,74.4,"Rudolfstetten-Friedlisberg (AG)","NA NA"
4076,23.8,23.8,76.2,"Sarmenstorf (AG)","NA NA"
4077,51.2,51.2,48.8,"Tägerig (AG)","NA NA"
4078,36.8,36.8,63.2,"Uezwil (AG)","NA NA"
4079,58.3,58.3,41.7,"Unterlunkhofen (AG)","NA NA"
4080,25,25,75,"Villmergen (AG)","NA NA"
4081,52.8,52.8,47.2,"Widen (AG)","NA NA"
4082,46.8,46.8,53.2,"Wohlen (AG)","NA NA"
4083,92.4,92.4,7.6,"Zufikon (AG)","NA NA"
4084,46.9,46.9,53.1,"Islisberg (AG)","NA NA"
4091,32.9,32.9,67.1,"Auenstein (AG)","NA NA"
4092,89.1,89.1,10.9,"Birr (AG)","NA NA"
4093,0.7,0.7,99.3,"Birrhard (AG)","NA NA"
4095,77.2,77.2,22.8,"Brugg (AG)","NA NA"
4099,87.5,87.5,12.5,"Habsburg (AG)","NA NA"
4100,27,27,73,"Hausen (AG)","NA NA"
4104,27,27,73,"Lupfig (AG)","NA NA"
4105,53.7,53.7,46.3,"Mandach (AG)","NA NA"
4106,60,60,40,"Mönthal (AG)","NA NA"
4107,57.1,57.1,42.9,"Mülligen (AG)","NA NA"
4110,53.6,53.6,46.4,"Remigen (AG)","NA NA"
4111,69.5,69.5,30.5,"Riniken (AG)","NA NA"
4112,45.3,45.3,54.7,"Rüfenach (AG)","NA NA"
4117,50.5,50.5,49.5,"Thalheim (AG)","NA NA"
4120,47.7,47.7,52.3,"Veltheim (AG)","NA NA"
4121,12.1,12.1,87.9,"Villigen (AG)","NA NA"
4123,5.4,5.4,94.6,"Windisch (AG)","NA NA"
4124,46.7,46.7,53.3,"Bözberg (AG)","NA NA"
4125,39.5,39.5,60.5,"Schinznach (AG)","NA NA"
4131,42.1,42.1,57.9,"Beinwil am See (AG)","NA NA"
4132,42.2,42.2,57.8,"Birrwil (AG)","NA NA"
4134,74,74,26,"Dürrenäsch (AG)","NA NA"
4135,33.6,33.6,66.4,"Gontenschwil (AG)","NA NA"
4136,40.3,40.3,59.7,"Holziken (AG)","NA NA"
4137,73,73,27,"Leimbach (AG)","NA NA"
4138,69.9,69.9,30.1,"Leutwil (AG)","NA NA"
4139,52.5,52.5,47.5,"Menziken (AG)","NA NA"
4140,54.2,54.2,45.8,"Oberkulm (AG)","NA NA"
4141,84.7,84.7,15.3,"Reinach (AG)","NA NA"
4142,55.4,55.4,44.6,"Schlossrued (AG)","NA NA"
4143,42.2,42.2,57.8,"Schmiedrued (AG)","NA NA"
4144,56.2,56.2,43.8,"Schöftland (AG)","NA NA"
4145,46.7,46.7,53.3,"Teufenthal (AG)","NA NA"
4146,41.8,41.8,58.2,"Unterkulm (AG)","NA NA"
4147,33.7,33.7,66.3,"Zetzwil (AG)","NA NA"
4161,74.8,74.8,25.2,"Eiken (AG)","NA NA"
4163,50.4,50.4,49.6,"Frick (AG)","NA NA"
4164,70.4,70.4,29.6,"Gansingen (AG)","NA NA"
4165,84.5,84.5,15.5,"Gipf-Oberfrick (AG)","NA NA"
4169,64.8,64.8,35.2,"Kaisten (AG)","NA NA"
4170,77.9,77.9,22.1,"Laufenburg (AG)","NA NA"
4172,27.1,27.1,72.9,"Münchwilen (AG)","NA NA"
4173,38.4,38.4,61.6,"Oberhof (AG)","NA NA"
4175,54.3,54.3,45.7,"Oeschgen (AG)","NA NA"
4176,39,39,61,"Schwaderloch (AG)","NA NA"
4177,26.4,26.4,73.6,"Sisseln (AG)","NA NA"
4181,59.9,59.9,40.1,"Wittnau (AG)","NA NA"
4182,56.4,56.4,43.6,"Wölflinswil (AG)","NA NA"
4183,68.5,68.5,31.5,"Zeihen (AG)","NA NA"
4184,78.6,78.6,21.4,"Mettauertal (AG)","NA NA"
4185,71.7,71.7,28.3,"Böztal (AG)","NA NA"
4186,58.6,58.6,41.4,"Herznach-Ueken (AG)","NA NA"
4191,67.4,67.4,32.6,"Ammerswil (AG)","NA NA"
4192,33.8,33.8,66.2,"Boniswil (AG)","NA NA"
4193,11.7,11.7,88.3,"Brunegg (AG)","NA NA"
4194,25.9,25.9,74.1,"Dintikon (AG)","NA NA"
4195,18.5,18.5,81.5,"Egliswil (AG)","NA NA"
4196,52,52,48,"Fahrwangen (AG)","NA NA"
4197,74.8,74.8,25.2,"Hallwil (AG)","NA NA"
4198,84.3,84.3,15.7,"Hendschiken (AG)","NA NA"
4199,37,37,63,"Holderbank (AG)","NA NA"
4200,44.2,44.2,55.8,"Hunzenschwil (AG)","NA NA"
4201,41.7,41.7,58.3,"Lenzburg (AG)","NA NA"
4202,41.8,41.8,58.2,"Meisterschwanden (AG)","NA NA"
4203,3.6,3.6,96.4,"Möriken-Wildegg (AG)","NA NA"
4204,57.6,57.6,42.4,"Niederlenz (AG)","NA NA"
4205,82.7,82.7,17.3,"Othmarsingen (AG)","NA NA"
4206,52.2,52.2,47.8,"Rupperswil (AG)","NA NA"
4207,42.4,42.4,57.6,"Schafisheim (AG)","NA NA"
4208,32.1,32.1,67.9,"Seengen (AG)","NA NA"
4209,82.2,82.2,17.8,"Seon (AG)","NA NA"
4210,62.9,62.9,37.1,"Staufen (AG)","NA NA"
4221,22.7,22.7,77.3,"Abtwil (AG)","NA NA"
4222,77.5,77.5,22.5,"Aristau (AG)","NA NA"
4223,24.2,24.2,75.8,"Auw (AG)","NA NA"
4224,3,3,97,"Beinwil (Freiamt) (AG)","NA NA"
4226,53.2,53.2,46.8,"Besenbüren (AG)","NA NA"
4227,38,38,62,"Bettwil (AG)","NA NA"
4228,75.8,75.8,24.2,"Boswil (AG)","NA NA"
4229,82.3,82.3,17.7,"Bünzen (AG)","NA NA"
4230,49.4,49.4,50.6,"Buttwil (AG)","NA NA"
4231,41.9,41.9,58.1,"Dietwil (AG)","NA NA"
4232,56.8,56.8,43.2,"Geltwil (AG)","NA NA"
4233,58.7,58.7,41.3,"Kallern (AG)","NA NA"
4234,53.9,53.9,46.1,"Merenschwand (AG)","NA NA"
4235,43.5,43.5,56.5,"Mühlau (AG)","NA NA"
4236,45.8,45.8,54.2,"Muri (AG)","NA NA"
4237,85.2,85.2,14.8,"Oberrüti (AG)","NA NA"
4238,32.8,32.8,67.2,"Rottenschwil (AG)","NA NA"
4239,96.6,96.6,3.4,"Sins (AG)","NA NA"
4240,59.3,59.3,40.7,"Waltenschwil (AG)","NA NA"
4251,15.8,15.8,84.2,"Hellikon (AG)","NA NA"
4252,82.7,82.7,17.3,"Kaiseraugst (AG)","NA NA"
4253,28.4,28.4,71.6,"Magden (AG)","NA NA"
4254,26.6,26.6,73.4,"Möhlin (AG)","NA NA"
4255,35.8,35.8,64.2,"Mumpf (AG)","NA NA"
4256,82.1,82.1,17.9,"Obermumpf (AG)","NA NA"
4257,9,9,91,"Olsberg (AG)","NA NA"
4258,99.2,99.2,0.8,"Rheinfelden (AG)","NA NA"
4259,62.5,62.5,37.5,"Schupfart (AG)","NA NA"
4260,12.3,12.3,87.7,"Stein (AG)","NA NA"
4261,47.1,47.1,52.9,"Wallbach (AG)","NA NA"
4262,21.4,21.4,78.6,"Wegenstetten (AG)","NA NA"
4263,10.6,10.6,89.4,"Zeiningen (AG)","NA NA"
4264,65.4,65.4,34.6,"Zuzgen (AG)","NA NA"
4271,45.5,45.5,54.5,"Aarburg (AG)","NA NA"
4273,45,45,55,"Bottenwil (AG)","NA NA"
4274,1.4,1.4,98.6,"Brittnau (AG)","NA NA"
4275,38.1,38.1,61.9,"Kirchleerau (AG)","NA NA"
4276,8.4,8.4,91.6,"Kölliken (AG)","NA NA"
4277,62.2,62.2,37.8,"Moosleerau (AG)","NA NA"
4279,39.9,39.9,60.1,"Murgenthal (AG)","NA NA"
4280,63.6,63.6,36.4,"Oftringen (AG)","NA NA"
4281,72.6,72.6,27.4,"Reitnau (AG)","NA NA"
4282,90.9,90.9,9.1,"Rothrist (AG)","NA NA"
4283,59.4,59.4,40.6,"Safenwil (AG)","NA NA"
4284,62.3,62.3,37.7,"Staffelbach (AG)","NA NA"
4285,40.1,40.1,59.9,"Strengelbach (AG)","NA NA"
4286,45.2,45.2,54.8,"Uerkheim (AG)","NA NA"
