"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,"Initiative Ja",53.5,46.5,"Aarau AG","Die Bargeldinitiative ist in Aarau mit 53,5 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 64,9 Prozent abgelehnt."
4002,"Zweimal Nein",23.6,76.4,"Biberstein AG","Sowohl die Bargeldinitiative (76,4 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (53,2 Prozent Nein) sind in Biberstein durchgefallen."
4003,"Initiative Ja",67.4,32.6,"Buchs AG","67,4 Prozent der Stimmbürgerinnen und Stimmbürger von Buchs AG haben sich für die Bargeldinitiative und 80,2 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 73 Prozent der Initiative den Vorrang."
4004,"Initiative Ja",62.3,37.7,"Densbüren AG","Densbüren hat die Initiative Bargeldinitiative mit 62,3 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 54,6 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 57,5 Prozent für die Initiative ausgesprochen."
4005,"Gegenvorschlag Ja",17.8,82.2,"Erlinsbach AG","Erlinsbach AG hat mit 82,2 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 73,2 Prozent."
4006,"Zweimal Nein",46.8,53.2,"Gränichen AG","Sowohl die Bargeldinitiative mit 53,2 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 78,6 Prozent Nein-Stimmen haben in Gränichen die Mehrheit verfehlt."
4007,"Initiative Ja",51.6,48.4,"Hirschthal AG","51,6 Prozent der Stimmbürgerinnen und Stimmbürger von Hirschthal haben sich für die Bargeldinitiative und 83,1 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 57,6 Prozent der Initiative den Vorrang."
4008,"Gegenvorschlag Ja",58.4,41.6,"Küttigen AG","58,4 Prozent der Stimmbürgerinnen und Stimmbürger von Küttigen haben sich für die Bargeldinitiative und 98,7 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 94,2 Prozent dem Gegenvorschlag den Vorrang."
4009,"Initiative Ja",63,37,"Muhen AG","Die Bargeldinitiative hat in Muhen mit 63 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 56,6 Prozent mehrheitlich abgelehnt."
4010,"Initiative Ja",93.4,6.6,"Oberentfelden AG","In Oberentfelden hat die Stimmbevölkerung der Bargeldinitiative mit 93,4 Prozent zugestimmt. Eine Mehrheit von 57,5 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
4012,"Zweimal Nein",9.1,90.9,"Suhr AG","In Suhr hat weder die Bargeldinitiative (90,9 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (88,6 Prozent Nein) eine Mehrheit erzielt."
4013,"Gegenvorschlag Ja",30.2,69.8,"Unterentfelden AG","69,8 Prozent der Stimmberechtigten in Unterentfelden haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 81,7 Prozent eine Mehrheit."
4021,"Gegenvorschlag Ja",7.6,92.4,"Baden AG","Die Bargeldinitiative hat in Baden 92,4 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 61,1 Prozent angenommen."
4022,"Gegenvorschlag Ja",19.3,80.7,"Bellikon AG","80,7 Prozent der Abstimmenden in Bellikon haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 96,6 Prozent."
