"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,46.2,46.2,53.8,"Herisau AR",
3002,52.1,52.1,47.9,"Hundwil AR",
3003,65.1,65.1,34.9,"Schönengrund AR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (58 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (60,1 Prozent Nein) haben in Schönengrund eine Mehrheit gefunden."
3004,74.1,74.1,25.9,"Schwellbrunn AR","Schwellbrunn hat sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (86,4 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (57,9 Prozent Nein) abgelehnt."
3005,25.7,25.7,74.3,"Stein AR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (90,9 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (51,8 Prozent Nein) haben in Stein AR eine Mehrheit gefunden."
3006,87.4,87.4,12.6,"Urnäsch AR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Urnäsch mit 81 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 65,4 Prozent abgelehnt."
3007,60.1,60.1,39.9,"Waldstatt AR",
3021,55.2,55.2,44.8,"Bühler AR",
3022,56.3,56.3,43.7,"Gais AR",
3023,7.8,7.8,92.2,"Speicher AR",
3024,49.7,49.7,50.3,"Teufen AR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (85,1 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (51,4 Prozent Nein) haben in Teufen AR eine Mehrheit gefunden."
3025,72.9,72.9,27.1,"Trogen AR","Trogen hat sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (62,2 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (50,4 Prozent Nein) abgelehnt."
3031,93.9,93.9,6.1,"Grub AR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Grub AR mit 66,9 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 54,3 Prozent abgelehnt."
3032,75.3,75.3,24.7,"Heiden AR",
3033,44.1,44.1,55.9,"Lutzenberg AR",
3034,59.8,59.8,40.2,"Rehetobel AR",
3035,52.5,52.5,47.5,"Reute AR","53,7 Prozent der Abstimmenden in Reute AR haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 51,2 Prozent."
3036,18.4,18.4,81.6,"Wald AR",
3037,54.2,54.2,45.8,"Walzenhausen AR","58,7 Prozent der Abstimmenden in Walzenhausen haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 68,7 Prozent."
3038,39.1,39.1,60.9,"Wolfhalden AR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Wolfhalden mit 81,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 94,6 Prozent abgelehnt."
