"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,98.3,98.3,1.7,"Aarberg (BE)","NA NA"
302,61.1,61.1,38.9,"Bargen (BE)","NA NA"
303,30.7,30.7,69.3,"Grossaffoltern (BE)","NA NA"
305,53.7,53.7,46.3,"Kappelen (BE)","NA NA"
306,68.1,68.1,31.9,"Lyss (BE)","NA NA"
307,80.3,80.3,19.7,"Meikirch (BE)","NA NA"
310,79.6,79.6,20.4,"Rapperswil (BE)","NA NA"
311,77.6,77.6,22.4,"Schüpfen (BE)","NA NA"
312,61.9,61.9,38.1,"Seedorf (BE)","NA NA"
321,43.7,43.7,56.3,"Aarwangen (BE)","NA NA"
322,60.7,60.7,39.3,"Auswil (BE)","NA NA"
323,4.8,4.8,95.2,"Bannwil (BE)","NA NA"
324,90.4,90.4,9.6,"Bleienbach (BE)","NA NA"
325,23.6,23.6,76.4,"Busswil bei Melchnau (BE)","NA NA"
326,86.6,86.6,13.4,"Gondiswil (BE)","NA NA"
329,86,86,14,"Langenthal (BE)","NA NA"
331,98.1,98.1,1.9,"Lotzwil (BE)","NA NA"
332,89.4,89.4,10.6,"Madiswil (BE)","NA NA"
309,63.2,63.2,36.8,"Radelfingen (BE)","NA NA"
335,81.7,81.7,18.3,"Oeschenbach (BE)","NA NA"
336,26,26,74,"Reisiswil (BE)","NA NA"
337,25.4,25.4,74.6,"Roggwil (BE)","NA NA"
338,79.6,79.6,20.4,"Rohrbach (BE)","NA NA"
339,49.6,49.6,50.4,"Rohrbachgraben (BE)","NA NA"
340,88.5,88.5,11.5,"Rütschelen (BE)","NA NA"
341,26.9,26.9,73.1,"Schwarzhäusern (BE)","NA NA"
342,24.6,24.6,75.4,"Thunstetten (BE)","NA NA"
344,61.1,61.1,38.9,"Ursenbach (BE)","NA NA"
345,31,31,69,"Wynau (BE)","NA NA"
351,86.9,86.9,13.1,"Berne (BE)","NA NA"
352,30.4,30.4,69.6,"Bolligen (BE)","NA NA"
353,9.2,9.2,90.8,"Bremgarten bei Bern (BE)","NA NA"
354,7.1,7.1,92.9,"Kirchlindach (BE)","NA NA"
355,39.9,39.9,60.1,"Köniz (BE)","NA NA"
356,86.2,86.2,13.8,"Muri bei Bern (BE)","NA NA"
357,48.9,48.9,51.1,"Oberbalm (BE)","NA NA"
358,58,58,42,"Stettlen (BE)","NA NA"
359,69.5,69.5,30.5,"Vechigen (BE)","NA NA"
360,24.5,24.5,75.5,"Wohlen bei Bern (BE)","NA NA"
361,37.6,37.6,62.4,"Zollikofen (BE)","NA NA"
362,42.8,42.8,57.2,"Ittigen (BE)","NA NA"
363,65.6,65.6,34.4,"Ostermundigen (BE)","NA NA"
371,13.2,13.2,86.8,"Bienne (BE)","NA NA"
372,46.5,46.5,53.5,"Evilard (BE)","NA NA"
381,11.5,11.5,88.5,"Arch (BE)","NA NA"
382,92.2,92.2,7.8,"Büetigen (BE)","NA NA"
383,54.5,54.5,45.5,"Büren an der Aare (BE)","NA NA"
385,79.3,79.3,20.7,"Diessbach bei Büren (BE)","NA NA"
386,65.6,65.6,34.4,"Dotzigen (BE)","NA NA"
387,1.1,1.1,98.9,"Longeau (BE)","NA NA"
388,17.9,17.9,82.1,"Leuzigen (BE)","NA NA"
390,10,10,90,"Meinisberg (BE)","NA NA"
391,51.4,51.4,48.6,"Oberwil bei Büren (BE)","NA NA"
392,6,6,94,"Perles (BE)","NA NA"
393,46.8,46.8,53.2,"Rüti bei Büren (BE)","NA NA"
394,44.8,44.8,55.2,"Wengi (BE)","NA NA"
401,49.8,49.8,50.2,"Aefligen (BE)","NA NA"
402,90.8,90.8,9.2,"Alchenstorf (BE)","NA NA"
403,21.4,21.4,78.6,"Bäriswil (BE)","NA NA"
404,86.6,86.6,13.4,"Berthoud (BE)","NA NA"
405,10.7,10.7,89.3,"Ersigen (BE)","NA NA"
406,34.8,34.8,65.2,"Hasle bei Burgdorf (BE)","NA NA"
407,41.2,41.2,58.8,"Heimiswil (BE)","NA NA"
409,24.6,24.6,75.4,"Hindelbank (BE)","NA NA"
410,35.9,35.9,64.1,"Höchstetten (BE)","NA NA"
411,80.3,80.3,19.7,"Kernenried (BE)","NA NA"
412,35.3,35.3,64.7,"Kirchberg (BE)","NA NA"
413,68.4,68.4,31.6,"Koppigen (BE)","NA NA"
414,37.7,37.7,62.3,"Krauchthal (BE)","NA NA"
415,29,29,71,"Lyssach (BE)","NA NA"
418,61.2,61.2,38.8,"Oberburg (BE)","NA NA"
420,55.7,55.7,44.3,"Rüdtligen-Alchenflüh (BE)","NA NA"
421,28.4,28.4,71.6,"Rumendingen (BE)","NA NA"
422,51.4,51.4,48.6,"Rüti bei Lyssach (BE)","NA NA"
423,80.4,80.4,19.6,"Willadingen (BE)","NA NA"
424,96.1,96.1,3.9,"Wynigen (BE)","NA NA"
431,19.4,19.4,80.6,"Corgémont (BE)","NA NA"
432,46.3,46.3,53.7,"Cormoret (BE)","NA NA"
433,41.4,41.4,58.6,"Cortébert (BE)","NA NA"
434,77.2,77.2,22.8,"Courtelary (BE)","NA NA"
435,46.3,46.3,53.7,"La Ferrière (BE)","NA NA"
437,21.3,21.3,78.7,"Mont-Tramelan (BE)","NA NA"
438,40.8,40.8,59.2,"Orvin (BE)","NA NA"
441,44.4,44.4,55.6,"Renan (BE)","NA NA"
442,31.8,31.8,68.2,"Romont (BE)","NA NA"
443,45.2,45.2,54.8,"Saint-Imier (BE)","NA NA"
444,33.9,33.9,66.1,"Sonceboz-Sombeval (BE)","NA NA"
445,18.2,18.2,81.8,"Sonvilier (BE)","NA NA"
446,35.7,35.7,64.3,"Tramelan (BE)","NA NA"
448,43.3,43.3,56.7,"Villeret (BE)","NA NA"
449,28,28,72,"Sauge (BE)","NA NA"
450,64.8,64.8,35.2,"Péry-La Heutte (BE)","NA NA"
491,30.4,30.4,69.6,"Brüttelen (BE)","NA NA"
492,41.8,41.8,58.2,"Cerlier (BE)","NA NA"
493,26.4,26.4,73.6,"Finsterhennen (BE)","NA NA"
494,90.1,90.1,9.9,"Gals (BE)","NA NA"
495,18.8,18.8,81.2,"Champion (Gampelen) (BE)","NA NA"
496,30.3,30.3,69.7,"Anet (BE)","NA NA"
497,88.2,88.2,11.8,"Lüscherz (BE)","NA NA"
498,81.5,81.5,18.5,"Müntschemier (BE)","NA NA"
499,48.6,48.6,51.4,"Siselen (BE)","NA NA"
500,4.9,4.9,95.1,"Treiten (BE)","NA NA"
501,53.5,53.5,46.5,"Tschugg (BE)","NA NA"
502,64,64,36,"Vinelz (BE)","NA NA"
533,80.6,80.6,19.4,"Bätterkinden (BE)","NA NA"
538,72.5,72.5,27.5,"Fraubrunnen (BE)","NA NA"
540,49.2,49.2,50.8,"Jegenstorf (BE)","NA NA"
541,58.6,58.6,41.4,"Iffwil (BE)","NA NA"
543,29.1,29.1,70.9,"Mattstetten (BE)","NA NA"
544,67.4,67.4,32.6,"Moosseedorf (BE)","NA NA"
546,66.4,66.4,33.6,"Münchenbuchsee (BE)","NA NA"
551,54.7,54.7,45.3,"Urtenen-Schönbühl (BE)","NA NA"
552,42,42,58,"Utzenstorf (BE)","NA NA"
553,21.1,21.1,78.9,"Wiggiswil (BE)","NA NA"
554,38.4,38.4,61.6,"Wiler bei Utzenstorf (BE)","NA NA"
556,51.7,51.7,48.3,"Zielebach (BE)","NA NA"
557,32,32,68,"Zuzwil (BE)","NA NA"
561,49.1,49.1,50.9,"Adelboden (BE)","NA NA"
562,75.4,75.4,24.6,"Aeschi bei Spiez (BE)","NA NA"
