"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,"Gegenvorschlag Ja",32,68,"Aesch BL","68 Prozent der Abstimmenden in Aesch BL haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 79,7 Prozent."
2762,"Gegenvorschlag Ja",24.4,75.6,"Allschwil BL","Allschwil hat sich mit 75,6 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 68 Prozent angenommen."
2763,"Gegenvorschlag Ja",62.4,37.6,"Arlesheim BL","62,4 Prozent der Stimmbürgerinnen und Stimmbürger von Arlesheim haben sich für die Bargeldinitiative und 51,2 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 80 Prozent dem Gegenvorschlag den Vorrang."
2764,"Zweimal Nein",46.5,53.5,"Biel-Benken BL","Sowohl die Bargeldinitiative (53,5 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (76,3 Prozent Nein) sind in Biel-Benken durchgefallen."
2765,"Initiative Ja",89.2,10.8,"Binningen BL","Binningen hat mit 89,2 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 78,8 Prozent ab."
2766,"Initiative Ja",65.2,34.8,"Birsfelden BL","Die Gemeinde Birsfelden hat die Bargeldinitiative mit 65,2 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 95,8 Prozent abgelehnt."
2767,"Zweimal Nein",47.2,52.8,"Bottmingen BL","Sowohl die Bargeldinitiative mit 52,8 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 61,6 Prozent Nein-Stimmen haben in Bottmingen die Mehrheit verfehlt."
2768,"Gegenvorschlag Ja",22.5,77.5,"Ettingen BL","77,5 Prozent der Stimmberechtigten in Ettingen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 66,3 Prozent eine Mehrheit."
2769,"Initiative Ja",71.9,28.1,"Münchenstein BL","71,9 Prozent der Stimmbürgerinnen und Stimmbürger von Münchenstein haben sich für die Bargeldinitiative und 60,2 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 54,5 Prozent der Initiative den Vorrang."
2770,"Zweimal Nein",46.4,53.6,"Muttenz BL","Muttenz hat sowohl die Bargeldinitiative (53,6 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (82,5 Prozent Nein) abgelehnt."
2771,"Zweimal Nein",6.8,93.2,"Oberwil BL","Sowohl die Bargeldinitiative mit 93,2 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 73,2 Prozent Nein-Stimmen haben in Oberwil BL die Mehrheit verfehlt."
2772,"Gegenvorschlag Ja",16.2,83.8,"Pfeffingen BL","Die Bargeldinitiative hat in Pfeffingen 83,8 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 92,4 Prozent angenommen."
2773,"Gegenvorschlag Ja",45.2,54.8,"Reinach BL","Reinach BL hat mit 54,8 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 59,1 Prozent."
2774,"Initiative Ja",83.2,16.8,"Schönenbuch BL","Die Bargeldinitiative hat in Schönenbuch mit 83,2 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 69,1 Prozent mehrheitlich abgelehnt."
