"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,36.6,36.6,63.4,"Aesch BL","NA NA"
2762,49,49,51,"Allschwil BL","NA NA"
2763,93.7,93.7,6.3,"Arlesheim BL","NA NA"
2765,24.8,24.8,75.2,"Binningen BL","NA NA"
2766,72.8,72.8,27.2,"Birsfelden BL","NA NA"
2767,47.1,47.1,52.9,"Bottmingen BL","NA NA"
2768,23.1,23.1,76.9,"Ettingen BL","NA NA"
2769,41.4,41.4,58.6,"Münchenstein BL","NA NA"
2770,62.3,62.3,37.7,"Muttenz BL","NA NA"
2771,12.2,12.2,87.8,"Oberwil BL","NA NA"
2772,28.9,28.9,71.1,"Pfeffingen BL","NA NA"
2773,29.3,29.3,70.7,"Reinach BL","NA NA"
2774,23.3,23.3,76.7,"Schönenbuch BL","NA NA"
2775,52.8,52.8,47.2,"Therwil BL","NA NA"
2781,53.6,53.6,46.4,"Blauen BL","NA NA"
2764,54.1,54.1,45.9,"Biel-Benken BL","NA NA"
2783,59.7,59.7,40.3,"Burg im Leimental BL","NA NA"
2784,7.1,7.1,92.9,"Dittingen BL","NA NA"
2785,21.4,21.4,78.6,"Duggingen BL","NA NA"
2786,41.9,41.9,58.1,"Grellingen BL","NA NA"
2787,66.3,66.3,33.7,"Laufen BL","NA NA"
2788,87.9,87.9,12.1,"Liesberg BL","NA NA"
2789,94.7,94.7,5.3,"Nenzlingen BL","NA NA"
2790,42.2,42.2,57.8,"Roggenburg BL","NA NA"
2791,67.3,67.3,32.7,"Röschenz BL","NA NA"
2792,46.5,46.5,53.5,"Wahlen BL","NA NA"
2793,44.2,44.2,55.8,"Zwingen BL","NA NA"
2821,41.6,41.6,58.4,"Arisdorf BL","NA NA"
2822,25.8,25.8,74.2,"Augst BL","NA NA"
2823,87.7,87.7,12.3,"Bubendorf BL","NA NA"
2824,30.9,30.9,69.1,"Frenkendorf BL","NA NA"
2825,36.5,36.5,63.5,"Füllinsdorf BL","NA NA"
2826,49.2,49.2,50.8,"Giebenach BL","NA NA"
2827,45.8,45.8,54.2,"Hersberg BL","NA NA"
2828,65,65,35,"Lausen BL","NA NA"
2829,56,56,44,"Liestal BL","NA NA"
2830,36.7,36.7,63.3,"Lupsingen BL","NA NA"
2831,61.1,61.1,38.9,"Pratteln BL","NA NA"
2832,57.7,57.7,42.3,"Ramlinsburg BL","NA NA"
2833,69.2,69.2,30.8,"Seltisberg BL","NA NA"
2834,50.6,50.6,49.4,"Ziefen BL","NA NA"
2841,45.4,45.4,54.6,"Anwil BL","NA NA"
2842,19.4,19.4,80.6,"Böckten BL","NA NA"
2843,90,90,10,"Buckten BL","NA NA"
2844,30,30,70,"Buus BL","NA NA"
2845,71.3,71.3,28.7,"Diepflingen BL","NA NA"
2846,31.7,31.7,68.3,"Gelterkinden BL","NA NA"
2847,29.5,29.5,70.5,"Häfelfingen BL","NA NA"
2848,57.1,57.1,42.9,"Hemmiken BL","NA NA"
2849,73.5,73.5,26.5,"Itingen BL","NA NA"
2850,44.1,44.1,55.9,"Känerkinden BL","NA NA"
2851,61,61,39,"Kilchberg BL","NA NA"
2852,85.2,85.2,14.8,"Läufelfingen BL","NA NA"
2853,27.6,27.6,72.4,"Maisprach BL","NA NA"
2854,48,48,52,"Nusshof BL","NA NA"
2855,90.8,90.8,9.2,"Oltingen BL","NA NA"
2856,15.9,15.9,84.1,"Ormalingen BL","NA NA"
2857,35.9,35.9,64.1,"Rickenbach BL","NA NA"
2858,31.6,31.6,68.4,"Rothenfluh BL","NA NA"
2859,27.2,27.2,72.8,"Rümlingen BL","NA NA"
2860,64.3,64.3,35.7,"Rünenberg BL","NA NA"
2861,51.4,51.4,48.6,"Sissach BL","NA NA"
2862,44.5,44.5,55.5,"Tecknau BL","NA NA"
2863,83.8,83.8,16.2,"Tenniken BL","NA NA"
2864,64.4,64.4,35.6,"Thürnen BL","NA NA"
2865,87.4,87.4,12.6,"Wenslingen BL","NA NA"
2866,99.2,99.2,0.8,"Wintersingen BL","NA NA"
2867,90.8,90.8,9.2,"Wittinsburg BL","NA NA"
2868,83.5,83.5,16.5,"Zeglingen BL","NA NA"
2869,47.5,47.5,52.5,"Zunzgen BL","NA NA"
2881,45.7,45.7,54.3,"Arboldswil BL","NA NA"
2882,48.6,48.6,51.4,"Bennwil BL","NA NA"
2883,75.7,75.7,24.3,"Bretzwil BL","NA NA"
2884,80.7,80.7,19.3,"Diegten BL","NA NA"
2885,32.3,32.3,67.7,"Eptingen BL","NA NA"
2886,55.3,55.3,44.7,"Hölstein BL","NA NA"
2887,54.2,54.2,45.8,"Lampenberg BL","NA NA"
2888,60,60,40,"Langenbruck BL","NA NA"
2889,32.2,32.2,67.8,"Lauwil BL","NA NA"
2890,81.7,81.7,18.3,"Liedertswil BL","NA NA"
2891,69.6,69.6,30.4,"Niederdorf BL","NA NA"
2892,34.7,34.7,65.3,"Oberdorf BL","NA NA"
2893,48.7,48.7,51.3,"Reigoldswil BL","NA NA"
2894,19.9,19.9,80.1,"Titterten BL","NA NA"
2895,74.2,74.2,25.8,"Waldenburg BL","NA NA"
2782,77.4,77.4,22.6,"Brislach BL","NA NA"
