"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,"deux fois non",21.3,78.7,"Châtillon (FR)",
2011,"contre-proposition oui",80.9,19.1,"Cugy (FR)",
2022,"deux fois non",5.9,94.1,"Gletterens (FR)",
2025,"deux fois non",46.6,53.4,"Lully (FR)",
2029,"deux fois non",50,50,"Montagny (FR)","Non à 50 % à l’initiative du PS prévoyant un chèque dentaire annuel de 300 francs, et non aussi à 86,2 % au projet qui prévoit d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Les citoyens de Montagny (FR) ont refusé l'initiative et le contre-projet."
2035,"contre-proposition oui",17.1,82.9,"Nuvilly (FR)","Les citoyens de Nuvilly disent oui à 50,8 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 82,9 %)."
2038,"initiative oui",51.7,48.3,"Prévondavaux (FR)","Oui à 51,7 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Oui également avec 76,3 % de oui au contre-projet qui demande d’inscrire la santé bucco-dentaire dans la loi en demandant à l'Etat d'établir un plan d'action, les tâches étant attribuées au médecin cantonal. Les citoyens de Prévondavaux ont toutefois préféré l'initiative avec 100 % de oui."
2041,"contre-proposition oui",28.4,71.6,"Saint-Aubin (FR)","C'est oui à 72,1 % à Saint-Aubin (FR) à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et modifier la Constitution pour y ajouter un plan d'action. C'est non par contre à 71,6 % à une initiative du PS qui prévoit un chèque dentaire annuel de 300 francs."
2043,"deux fois non",37.8,62.2,"Sévaz (FR)","Ni l'initiative du PS, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Sévaz. Ils refusent avec 62,2 % de non l’initiative du PS. Ils s'opposent aussi au contre-projet (66,4 % de non), qui prévoit d’inscrire la santé bucco-dentaire dans la loi et d’ajouter un plan d'action dans la loi."
2044,"deux fois non",33.2,66.8,"Surpierre (FR)","Ni l'initiative du PS, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Surpierre. Ils refusent avec 66,8 % de non l’initiative du PS. Ils s'opposent aussi au contre-projet (94,6 % de non), qui prévoit d’inscrire la santé bucco-dentaire dans la loi et d’ajouter un plan d'action dans la loi."
2045,"initiative oui",72.8,27.2,"Vallon (FR)","C'est oui à Vallon à 72,8 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. C'est non par contre à 47,8 % au contre-projet du gouvernement qui prévoit d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action."
2050,"initiative oui",64.5,35.5,"Les Montets (FR)",
2051,"contre-proposition oui",49.8,50.2,"Delley-Portalban (FR)",
2053,"contre-proposition oui",37.4,62.6,"Belmont-Broye (FR)",
2054,"deux fois non",28.9,71.1,"Estavayer (FR)",
2055,"contre-proposition oui",19.6,80.4,"Cheyres-Châbles (FR)",
2063,"contre-proposition oui",22,78,"Billens-Hennens (FR)","Les citoyens de Billens-Hennens disent oui à 61,4 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 78 %)."
2067,"contre-proposition oui",28.9,71.1,"Le Châtelard (FR)","Les citoyens du Châtelard ne veulent ni un chèque dentaire annuel de 300 francs, ni inscrire la santé bucco-dentaire dans la loi et ajouter un plan d'action pour l'Etat. Ils ont refusé l'initiative du PS avec 71,1 % de non et le contre-projet avec 33,6 % de non."
