"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,74.7,74.7,25.3,"Aire-la-Ville (GE)","Oui à 74,7 % au contre-projet demandant d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Et oui aussi à 83,2 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Invités à trancher entre ces deux propositions, les habitants d'Aire-la-Ville ont opté pour le contre-projet avec 68,2 % de oui."
6602,17.8,17.8,82.2,"Anières (GE)",
6603,43.3,43.3,56.7,"Avully (GE)","Ni l'initiative du PS, ni le contre-projet ne trouvent grâce aux yeux des citoyens d'Avully. Ils refusent avec 68,9 % de non l’initiative du PS. Ils s'opposent aussi au contre-projet (56,7 % de non), qui prévoit d’inscrire la santé bucco-dentaire dans la loi et d’ajouter un plan d'action dans la loi."
6604,34.4,34.4,65.6,"Avusy (GE)","Ni l'initiative du PS, ni le contre-projet ne trouvent grâce aux yeux des citoyens d'Avusy. Ils refusent avec 78,1 % de non l'initiative prévoyant un chèque dentaire annuel de 300 francs. Ils s'opposent aussi au contre-projet (65,6 % de non), qui prévoit qui prévoit d’inscrire la santé bucco-dentaire dans la loi et d’ajouter un plan d'action dans la loi."
6605,1.5,1.5,98.5,"Bardonnex (GE)","Non à 60,7 % à l’initiative du PS prévoyant un chèque dentaire annuel de 300 francs, et non aussi à 98,5 % au projet qui prévoit d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Les citoyens de Bardonnex ont refusé l'initiative et le contre-projet."
6606,63.1,63.1,36.9,"Bellevue (GE)","Les ayants droit de Bellevue ont tranché: ils sont favorables à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Les citoyens ont dit oui à 77,9. Ils acceptent aussi le contre-projet du gouvernement avec 63,1 % de oui. Avec cette proposition, la santé bucco-dentaire est inscrite dans la loi et l'Etat est chargé d'établir un plan d'action, les tâches étant attribuées au médecin cantonal. Invités à choisir, les habitants de Bellevue tranchent toutefois en faveur de l'initiative avec 98,6 % de oui."
6607,49.1,49.1,50.9,"Bernex (GE)","Ni l'initiative du PS, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Bernex. Ils refusent avec 71,6 % de non l’initiative du PS. Ils s'opposent aussi au contre-projet (50,9 % de non), qui prévoit d’inscrire la santé bucco-dentaire dans la loi et d’ajouter un plan d'action dans la loi."
6608,66.5,66.5,33.5,"Carouge (GE)",
6609,60.2,60.2,39.8,"Cartigny (GE)","Les citoyens de Cartigny disent oui à 60,2 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 95,8 %)."
6610,42.5,42.5,57.5,"Céligny (GE)",
6611,28.1,28.1,71.9,"Chancy (GE)",
6612,92.7,92.7,7.3,"Chêne-Bougeries (GE)","Les citoyens de Chêne-Bougeries disent oui à 92,7 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 51,9 %)."
6613,56.5,56.5,43.5,"Chêne-Bourg (GE)","Oui à 56,5 % au contre-projet demandant d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Et oui aussi à 57,4 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Invités à trancher entre ces deux propositions, les habitants de Chêne-Bourg ont opté pour le contre-projet avec 62,9 % de oui."
6614,63,63,37,"Choulex (GE)",
6615,50.2,50.2,49.8,"Collex-Bossy (GE)","Les citoyens de Collex-Bossy ne veulent ni un chèque dentaire annuel de 300 francs, ni inscrire la santé bucco-dentaire dans la loi et ajouter un plan d'action pour l'Etat. Ils ont refusé l'initiative du PS avec 51,5 % de non et le contre-projet avec 49,8 % de non."
6616,25.3,25.3,74.7,"Collonge-Bellerive (GE)",
6617,28.5,28.5,71.5,"Cologny (GE)","Les citoyens de Cologny acceptent avec 28,5 % de oui un contre-projet qui prévoit d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Ils s'opposent par contre à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 28,2 %)."
6618,80.5,80.5,19.5,"Confignon (GE)",
6619,37.2,37.2,62.8,"Corsier (GE)","C'est oui à Corsier (GE) à 60,8 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. C'est non par contre à 37,2 % au contre-projet du gouvernement qui prévoit d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action."
6620,66.6,66.6,33.4,"Dardagny (GE)","C'est oui à 66,6 % à Dardagny à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et modifier la Constitution pour y ajouter un plan d'action. C'est non par contre à 78,9 % à une initiative du PS qui prévoit un chèque dentaire annuel de 300 francs."
6621,84.9,84.9,15.1,"Genève (GE)",
6622,73.6,73.6,26.4,"Genthod (GE)","Les citoyens de Genthod disent oui à 73,6 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 54 %)."
6623,7.2,7.2,92.8,"Le Grand-Saconnex (GE)",
6624,62.1,62.1,37.9,"Gy (GE)","Les citoyens de Gy disent oui à 62,1 à un contre-projet qui veut inscrire la santé bucco-dentaire dans la loi et demander à l'Etat d'établir un plan d'action. Ils refusent par contre l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie (non à 74 %)."
6625,20.6,20.6,79.4,"Hermance (GE)",
6626,92.6,92.6,7.4,"Jussy (GE)","Les ayants droit de Jussy ont tranché: ils sont favorables à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Les citoyens ont dit oui à 64,9. Ils acceptent aussi le contre-projet du gouvernement avec 92,6 % de oui. Avec cette proposition, la santé bucco-dentaire est inscrite dans la loi et l'Etat est chargé d'établir un plan d'action, les tâches étant attribuées au médecin cantonal. Invités à choisir, les habitants de Jussy tranchent toutefois en faveur de l'initiative avec 66,5 % de oui."
6627,22,22,78,"Laconnex (GE)",
6628,61.9,61.9,38.1,"Lancy (GE)","Oui à 61,9 % au contre-projet demandant d’inscrire la santé bucco-dentaire dans la loi et de demander à l'Etat d'établir un plan d'action. Et oui aussi à 89,9 % à l'initiative du PS qui prévoit un chèque dentaire annuel de 300 francs pour certaines personnes éligibles aux subsides d'assurance-maladie. Invités à trancher entre ces deux propositions, les habitants de Lancy ont opté pour le contre-projet avec 62,3 % de oui."
