"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,72.1,72.1,27.9,"Aire-la-Ville (GE)","La population d'Aire-la-Ville approuve à 72,1 pour cent l'imposition individuelle des couples mariés. Aire-la-Ville a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6602,64.4,64.4,35.6,"Anières (GE)","L'imposition individuelle des couples mariés est acceptée à Anières par 64,4 pour cent des suffrages. Anières a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6603,63.8,63.8,36.2,"Avully (GE)","L'imposition individuelle des couples mariés est acceptée à Avully par 63,8 pour cent des suffrages. Avully a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6604,69.3,69.3,30.7,"Avusy (GE)","À Avusy, l'imposition individuelle des couples mariés est acceptée à 69,3 pour cent. Avusy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6605,65.6,65.6,34.4,"Bardonnex (GE)","L'imposition individuelle des couples mariés recueille 65,6 pour cent % de oui à Bardonnex. Bardonnex a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6606,68.7,68.7,31.3,"Bellevue (GE)","L'imposition individuelle des couples mariés est acceptée à Bellevue par 68,7 pour cent des suffrages. Bellevue a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6607,67,67,33,"Bernex (GE)","L'imposition individuelle des couples mariés est acceptée à Bernex par 67 pour cent des suffrages. Bernex a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6608,70.9,70.9,29.1,"Carouge (GE)","La population de Carouge (GE) accepte à 70,9 pour cent l'imposition individuelle des couples mariés. Carouge (GE) a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6609,67.7,67.7,32.3,"Cartigny (GE)","À Cartigny, l'imposition individuelle des couples mariés est approuvée par 279 voix contre 133. Cartigny a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6610,67.8,67.8,32.2,"Céligny (GE)","L'imposition individuelle des couples mariés est acceptée à Céligny par 67,8 pour cent des suffrages. Céligny a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6611,60.4,60.4,39.6,"Chancy (GE)","La population de Chancy accepte à 60,4 pour cent l'imposition individuelle des couples mariés. Chancy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6612,69.4,69.4,30.6,"Chêne-Bougeries (GE)","La population de Chêne-Bougeries approuve à 69,4 pour cent l'imposition individuelle des couples mariés. Chêne-Bougeries a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6613,66.1,66.1,33.9,"Chêne-Bourg (GE)","La population de Chêne-Bourg approuve à 66,1 pour cent l'imposition individuelle des couples mariés. Chêne-Bourg a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6614,69,69,31,"Choulex (GE)","L'imposition individuelle des couples mariés est acceptée à Choulex par 69 pour cent des suffrages. Choulex a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6615,67.7,67.7,32.3,"Collex-Bossy (GE)","À Collex-Bossy, l'imposition individuelle des couples mariés est acceptée à 67,7 pour cent. Collex-Bossy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6616,65.3,65.3,34.7,"Collonge-Bellerive (GE)","L'imposition individuelle des couples mariés est acceptée à Collonge-Bellerive par 65,3 pour cent des suffrages. Collonge-Bellerive a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6617,68.2,68.2,31.8,"Cologny (GE)","À Cologny, l'imposition individuelle des couples mariés est acceptée à 68,2 pour cent. Cologny a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6618,68.4,68.4,31.6,"Confignon (GE)","L'imposition individuelle des couples mariés est acceptée à Confignon par 68,4 pour cent des suffrages. Confignon a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6619,65.5,65.5,34.5,"Corsier (GE)","L'imposition individuelle des couples mariés est acceptée à Corsier (GE) par 65,5 pour cent des suffrages. Corsier (GE) a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6620,60.7,60.7,39.3,"Dardagny (GE)","L'imposition individuelle des couples mariés est acceptée à Dardagny par 60,7 pour cent des suffrages. Dardagny a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6621,69.8,69.8,30.2,"Genève (GE)","La population de Genève accepte à 69,8 pour cent l'imposition individuelle des couples mariés. Genève a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6622,64.6,64.6,35.4,"Genthod (GE)","L'imposition individuelle des couples mariés recueille 64,6 pour cent % de oui à Genthod. Genthod a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6623,64.4,64.4,35.6,"Le Grand-Saconnex (GE)","L'imposition individuelle des couples mariés est acceptée au Grand-Saconnex par 64,4 pour cent des suffrages. Le Grand-Saconnex a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6624,74.3,74.3,25.7,"Gy (GE)","La population de Gy approuve à 74,3 pour cent l'imposition individuelle des couples mariés. Gy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6625,71,71,29,"Hermance (GE)","À Hermance, l'imposition individuelle des couples mariés est approuvée par 299 voix contre 122. Hermance a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6626,58.1,58.1,41.9,"Jussy (GE)","À Jussy, l'imposition individuelle des couples mariés est approuvée par 248 voix contre 179. Jussy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6627,70,70,30,"Laconnex (GE)","L'imposition individuelle des couples mariés est acceptée à Laconnex par 70 pour cent des suffrages. Laconnex a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
6628,66,66,34,"Lancy (GE)","La population de Lancy approuve à 66 pour cent l'imposition individuelle des couples mariés. Lancy a dit oui à l'imposition individuelle des couples mariés, tout comme le canton."
