"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3506,82.6,82.6,17.4,"Vaz/Obervaz GR","Vaz/Obervaz hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 98,6 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 82,6 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 76,8 Prozent für die Initiative ausgesprochen."
3513,3.4,3.4,96.6,"Lantsch/Lenz GR","Lantsch/Lenz hat mit 67,3 Prozent Ja gesagt zur Initiative ""Für ein Grundrecht auf digitale Integrität"". Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 96,6 Prozent ab."
3514,51.5,51.5,48.5,"Schmitten GR","86,8 Prozent der Stimmbürgerinnen und Stimmbürger von Schmitten GR haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 51,5 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 65,3 Prozent der Initiative den Vorrang."
3542,75.4,75.4,24.6,"Albula/Alvra GR",
3543,50.9,50.9,49.1,"Surses GR","92 Prozent der Abstimmenden in Surses haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 50,9 Prozent."
3544,67.3,67.3,32.7,"Bergün Filisur GR","53,8 Prozent der Abstimmenden in Bergün Filisur haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 67,3 Prozent."
3551,32.5,32.5,67.5,"Brusio GR",
3561,49.4,49.4,50.6,"Poschiavo GR","Die Gemeinde Poschiavo hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 84 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 50,6 Prozent abgelehnt."
3572,30.1,30.1,69.9,"Falera GR","Die Gemeinde Falera hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 58 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 69,9 Prozent abgelehnt."
3575,56,56,44,"Laax GR","Laax hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 94,4 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 56 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 91,1 Prozent für die Initiative ausgesprochen."
3581,46.7,46.7,53.3,"Sagogn GR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (71,8 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (53,3 Prozent Nein) haben in Sagogn eine Mehrheit gefunden."
3582,6.2,6.2,93.8,"Schluein GR",
3603,37.9,37.9,62.1,"Vals GR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (74,4 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (62,1 Prozent Nein) haben in Vals eine Mehrheit gefunden."
3618,38.1,38.1,61.9,"Lumnezia GR",
3619,64.5,64.5,35.5,"Ilanz/Glion GR","Ilanz/Glion hat mit 94,1 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 64,5 Prozent."
3633,18,18,82,"Fürstenau GR","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (60,1 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (82 Prozent Nein) sind in Fürstenau durchgefallen."
3637,62.5,62.5,37.5,"Rothenbrunnen GR","Rothenbrunnen hat mit 79,3 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 62,5 Prozent."
3638,83.2,83.2,16.8,"Scharans GR","94,4 Prozent der Abstimmenden in Scharans haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 83,2 Prozent."
3640,71.7,71.7,28.3,"Sils im Domleschg GR","Sils im Domleschg hat mit 60,8 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 71,7 Prozent."
3661,40.9,40.9,59.1,"Cazis GR",
3662,86.4,86.4,13.6,"Flerden GR","Flerden hat mit 61,5 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 86,4 Prozent."
3663,61.4,61.4,38.6,"Masein GR",
3668,29.7,29.7,70.3,"Thusis GR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Thusis mit 69,9 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 70,3 Prozent abgelehnt."
3669,58.2,58.2,41.8,"Tschappina GR","85,5 Prozent der Abstimmenden in Tschappina haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 58,2 Prozent."
3670,67.3,67.3,32.7,"Urmein GR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Urmein mit 56,2 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 67,3 Prozent. Bei der Stichfrage bevorzugten 64,9 Prozent den Gegenvorschlag."
3672,52.2,52.2,47.8,"Safiental GR",
3673,44.8,44.8,55.2,"Domleschg GR",
3681,51.4,51.4,48.6,"Avers GR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Avers mit 77,3 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 51,4 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 57,1 Prozent für die Initiative ausgesprochen."
3695,94.4,94.4,5.6,"Sufers GR","79,1 Prozent der Abstimmenden in Sufers haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 94,4 Prozent."
3701,97.1,97.1,2.9,"Andeer GR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Andeer mit 78,9 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 97,1 Prozent. Bei der Stichfrage bevorzugten 91 Prozent den Gegenvorschlag."
3711,65.1,65.1,34.9,"Rongellen GR","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Rongellen mit 87,8 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 65,1 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 51,6 Prozent für die Initiative ausgesprochen."
3712,10.7,10.7,89.3,"Zillis-Reischen GR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (55,7 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (89,3 Prozent Nein) haben in Zillis-Reischen eine Mehrheit gefunden."
3713,51.8,51.8,48.2,"Ferrera GR","70,1 Prozent der Abstimmenden in Ferrera haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 51,8 Prozent."
3714,48.6,48.6,51.4,"Rheinwald GR","Rheinwald hat sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (70,6 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (51,4 Prozent Nein) abgelehnt."
3715,16.9,16.9,83.1,"Muntogna da Schons GR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (56,1 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (83,1 Prozent Nein) haben in Muntogna da Schons eine Mehrheit gefunden."
3721,54.9,54.9,45.1,"Bonaduz GR","84,4 Prozent der Stimmbürgerinnen und Stimmbürger von Bonaduz haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 54,9 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 65,3 Prozent der Initiative den Vorrang."
