"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3506,29,29,71,"Vaz/Obervaz (GR)",
3513,89.6,89.6,10.4,"Lantsch/Lenz (GR)",
3514,52.6,52.6,47.4,"Schmitten (GR)",
3542,34.9,34.9,65.1,"Albula/Alvra (GR)",
3543,39.9,39.9,60.1,"Surses (GR)",
3544,40.8,40.8,59.2,"Bergün Filisur (GR)",
3551,42.2,42.2,57.8,"Brusio (GR)",
3561,15.5,15.5,84.5,"Poschiavo (GR)",
3572,70.6,70.6,29.4,"Falera (GR)",
3575,59.5,59.5,40.5,"Laax (GR)",
3581,67.6,67.6,32.4,"Sagogn (GR)",
3582,57,57,43,"Schluein (GR)",
3603,72.3,72.3,27.7,"Vals (GR)",
3618,9.6,9.6,90.4,"Lumnezia (GR)",
3619,15.4,15.4,84.6,"Ilanz/Glion (GR)",
3633,52.1,52.1,47.9,"Fürstenau (GR)",
3637,52.6,52.6,47.4,"Rothenbrunnen (GR)",
3638,41.9,41.9,58.1,"Scharans (GR)",
3640,79.3,79.3,20.7,"Sils im Domleschg (GR)",
3661,5,5,95,"Cazis (GR)",
3662,75.4,75.4,24.6,"Flerden (GR)",
3663,51.4,51.4,48.6,"Masein (GR)",
3668,97.2,97.2,2.8,"Thusis (GR)",
3669,83,83,17,"Tschappina (GR)",
3670,80.5,80.5,19.5,"Urmein (GR)",
3672,1,1,99,"Safiental (GR)",
3673,34,34,66,"Domleschg (GR)",
3681,57.4,57.4,42.6,"Avers (GR)",
3695,46.3,46.3,53.7,"Sufers (GR)",
3701,31.1,31.1,68.9,"Andeer (GR)",
3711,69.8,69.8,30.2,"Rongellen (GR)",
3712,31.5,31.5,68.5,"Zillis-Reischen (GR)",
3713,45.6,45.6,54.4,"Ferrera (GR)",
3714,67.7,67.7,32.3,"Rheinwald (GR)",
3715,17.4,17.4,82.6,"Muntogna da Schons (GR)",
3721,73.3,73.3,26.7,"Bonaduz (GR)",
3722,5.3,5.3,94.7,"Domat/Ems (GR)",
3723,56.9,56.9,43.1,"Rhäzüns (GR)",
3731,42.2,42.2,57.8,"Felsberg (GR)",
3732,35.9,35.9,64.1,"Flims (GR)",
3733,58.3,58.3,41.7,"Tamins (GR)",
3734,68.5,68.5,31.5,"Trin (GR)",
3746,4.5,4.5,95.5,"Zernez (GR)",
3752,18.3,18.3,81.7,"Samnaun (GR)",
3762,35.9,35.9,64.1,"Scuol (GR)",
3764,88,88,12,"Valsot (GR)",
3781,28.1,28.1,71.9,"Bever (GR)",
3782,48.2,48.2,51.8,"Celerina/Schlarigna (GR)",
3783,77.6,77.6,22.4,"Madulain (GR)",
3784,70.6,70.6,29.4,"Pontresina (GR)",
3785,47.1,47.1,52.9,"La Punt-Chamues-ch (GR)",
3786,96.9,96.9,3.1,"Samedan (GR)",
3787,58.6,58.6,41.4,"St. Moritz (GR)",
3788,49.8,49.8,50.2,"S-chanf (GR)",
3789,73.3,73.3,26.7,"Sils im Engadin/Segl (GR)",
3790,33.1,33.1,66.9,"Silvaplana (GR)",
3791,35,35,65,"Zuoz (GR)",
3792,56.9,56.9,43.1,"Bregaglia (GR)",
3804,62.2,62.2,37.8,"Buseno (GR)",
3805,44.1,44.1,55.9,"Castaneda (GR)",
3808,89.8,89.8,10.2,"Rossa (GR)",
3810,44.1,44.1,55.9,"Santa Maria in Calanca (GR)",
3821,95.3,95.3,4.7,"Lostallo (GR)",
3822,2.5,2.5,97.5,"Mesocco (GR)",
3823,47,47,53,"Soazza (GR)",
3831,35.5,35.5,64.5,"Cama (GR)",
3832,56.5,56.5,43.5,"Grono (GR)",
3834,56.8,56.8,43.2,"Roveredo (GR)",
3835,2.4,2.4,97.6,"San Vittore (GR)",
3837,28.2,28.2,71.8,"Calanca (GR)",
3847,97.5,97.5,2.5,"Val Müstair (GR)",
3851,72.9,72.9,27.1,"Davos (GR)",
3861,51.1,51.1,48.9,"Fideris (GR)",
3862,47.3,47.3,52.7,"Furna (GR)",
3863,39.4,39.4,60.6,"Jenaz (GR)",
3871,42.4,42.4,57.6,"Klosters-Serneus (GR)",
3881,49.1,49.1,50.9,"Conters im Prättigau (GR)",
3882,69.5,69.5,30.5,"Küblis (GR)",
3891,59.4,59.4,40.6,"Luzein (GR)",
3901,55.3,55.3,44.7,"Coira (GR)",
3911,83.2,83.2,16.8,"Churwalden (GR)",
3921,45.9,45.9,54.1,"Arosa (GR)",
3945,53.6,53.6,46.4,"Trimmis (GR)",
3946,40.3,40.3,59.7,"Untervaz (GR)",
3947,48.4,48.4,51.6,"Zizers (GR)",
3951,73.3,73.3,26.7,"Fläsch (GR)",
3952,0.7,0.7,99.3,"Jenins (GR)",
3953,29.6,29.6,70.4,"Maienfeld (GR)",
3954,34.1,34.1,65.9,"Malans (GR)",
3955,65.7,65.7,34.3,"Landquart (GR)",
3961,36,36,64,"Grüsch (GR)",
3962,58.2,58.2,41.8,"Schiers (GR)",
3972,41.5,41.5,58.5,"Seewis im Prättigau (GR)",
3981,58.4,58.4,41.6,"Breil/Brigels (GR)",
3982,39.7,39.7,60.3,"Disentis/Mustér (GR)",
3983,92.3,92.3,7.7,"Medel (Lucmagn) (GR)",
3985,72.1,72.1,27.9,"Sumvitg (GR)",
3986,90,90,10,"Tujetsch (GR)",
3987,79.7,79.7,20.3,"Trun (GR)",
3988,60.9,60.9,39.1,"Obersaxen Mundaun (GR)",
