"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,34.8,34.8,65.2,"Boécourt (JU)","À Boécourt, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 65,2 pour cent. Boécourt et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6703,29,29,71,"Bourrignon (JU)","Avec 71 pour cent des voix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à Bourrignon. Bourrignon et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6704,34,34,66,"Châtillon (JU)","Non à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Châtillon (JU) : 66 pour cent. Châtillon (JU) et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6706,25.8,25.8,74.2,"Courchapoix (JU)","À Courchapoix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 74,2 pour cent. Courchapoix et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6708,28.5,28.5,71.5,"Courrendlin (JU)","Non à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Courrendlin : 71,5 pour cent. Courrendlin et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6709,33.2,33.2,66.8,"Courroux (JU)","Non à 66,8 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Courroux. Courroux et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6710,31.3,31.3,68.7,"Courtételle (JU)","Non à 68,7 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Courtételle. Courtételle et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6711,43.9,43.9,56.1,"Delémont (JU)","Non à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Delémont : 56,1 pour cent. Delémont et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6712,25.6,25.6,74.4,"Develier (JU)","La population de Develier refuse l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 74,4 pour cent. Develier et le canton Jura rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6713,2.2,2.2,97.8,"Ederswiler (JU)","Ederswiler affiche le taux de non le plus élevé de Suisse pour l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an avec 97,8 pour cent. C'est à Ederswiler qu'a été enregistré le plus haut taux de non à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an dans le canton du Jura."
