"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1001,27.7,27.7,72.3,"Doppleschwand LU","In Doppleschwand wird die Individualbesteuerung mit 72,3 Prozent abgelehnt. Doppleschwand stimmt, wie der Kanton Luzern, gegen die Individualbesteuerung."
1002,68.3,68.3,31.7,"Entlebuch LU","In Entlebuch erhält die Individualbesteuerung 68,3 Prozent Zustimmung. Entlebuch nimmt die Individualbesteuerung an, während der Kanton Luzern sie ablehnt."
1004,25.1,25.1,74.9,"Flühli LU","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von Flühli haben sich gegen die Individualbesteuerung ausgesprochen. Flühli stimmt, wie der Kanton Luzern, gegen die Individualbesteuerung."
1005,98.2,98.2,1.8,"Hasle LU","Hasle LU hat die Individualbesteuerung angenommen, und der Ja-Stimmen-Anteil liegt bei 98,2 Prozent. Im Kanton Luzern liegt die Hasle LU beim Ja-Anteil zu Abschafffung des Eigenmietwerts an der Spitze."
1007,69.9,69.9,30.1,"Romoos LU","Romoos hat die Individualbesteuerung angenommen, und der Ja-Stimmen-Anteil liegt bei 69,9 Prozent. Romoos nimmt die Individualbesteuerung an, während der Kanton Luzern sie ablehnt."
1008,63.2,63.2,36.8,"Schüpfheim LU","63,2 Prozent der Stimmbürgerinnen und Stimmbürger von Schüpfheim haben sich für die Individualbesteuerung ausgesprochen. Schüpfheim nimmt die Individualbesteuerung an, während der Kanton Luzern sie ablehnt."
1009,21.7,21.7,78.3,"Werthenstein LU","In Werthenstein haben 78,3 Prozent gegen die Individualbesteuerung gestimmt. Werthenstein stimmt, wie der Kanton Luzern, gegen die Individualbesteuerung."
1010,37.1,37.1,62.9,"Escholzmatt-Marbach LU","62,9 Prozent der Stimmbürgerinnen und Stimmbürger von Escholzmatt-Marbach haben die Individualbesteuerung abgelehnt. Escholzmatt-Marbach stimmt, wie der Kanton Luzern, gegen die Individualbesteuerung."
1021,50.9,50.9,49.1,"Aesch LU","50,9 Prozent der Stimmbürgerinnen und Stimmbürger von Aesch LU haben sich für die Individualbesteuerung ausgesprochen. Aesch LU nimmt die Individualbesteuerung an, während der Kanton Luzern sie ablehnt."
1023,31.7,31.7,68.3,"Ballwil LU","68,3 Prozent der Stimmbürgerinnen und Stimmbürger von Ballwil haben die Individualbesteuerung abgelehnt. Ballwil stimmt, wie der Kanton Luzern, gegen die Individualbesteuerung."
