"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,"contre-proposition oui",41.8,58.2,"Boudry (NE)","Les citoyens de Boudry disent oui à 61,6 à un contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Ils refusent par contre l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" (non à 58,2 %)."
6408,"deux fois non",46.7,53.3,"Cortaillod (NE)","Non à 53,3 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 78,7 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens de Cortaillod ont refusé l'initiative et le contre-projet."
6413,"initiative oui",62.5,37.5,"Rochefort (NE)","Les ayants droit de Rochefort ont tranché: ils sont favorables à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" qui veut garantir le maintien de l'argent liquide en Suisse. Les citoyens ont dit oui à 62,5. Ils acceptent aussi le contre-projet du Conseil fédéral et du Parlement avec 79 % de oui. Avec cette proposition, la disponibilité de l'argent liquide est garantie par des dispositions formulées de manière juridiquement claire et applicables. Invités à choisir, les habitants de Rochefort tranchent toutefois en faveur de l'initiative avec 51,1 % de oui."
6416,"deux fois non",22.8,77.2,"Milvignes (NE)","Ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne trouvent grâce aux yeux des citoyens de Milvignes. Ils refusent avec 77,2 % de non l’initiative. Ils s'opposent aussi au contre-projet (60 % de non), qui vise à garantir la disponibilité de l'argent liquide par des dispositions juridiquement éprouvées."
6417,"initiative oui",91,9,"La Grande Béroche (NE)","Les électeurs de La Grande Béroche approuvent à 91 % l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils refusent en revanche le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide (34,6 %)."
6421,"initiative oui",60,40,"La Chaux-de-Fonds (NE)","Oui à 60 % à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" qui veut garantir le maintien de l'argent liquide en Suisse en inscrivant sa disponibilité dans la Constitution. Oui également avec 50,6 % de oui au contre-projet du Conseil fédéral et du Parlement qui reprend des formulations de lois éprouvées, juridiquement univoques et faciles à mettre en oeuvre. Les citoyens de La Chaux-de-Fonds ont toutefois préféré l'initiative avec 54,6 % de oui."
6422,"deux fois non",29,71,"Les Planchettes (NE)","Ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne trouvent grâce aux yeux des citoyens des Planchettes. Ils refusent avec 71 % de non l’initiative. Ils s'opposent aussi au contre-projet (53,3 % de non), qui vise à garantir la disponibilité de l'argent liquide par des dispositions juridiquement éprouvées."
6423,"contre-proposition oui",35.9,64.1,"La Sagne (NE)","Les citoyens de La Sagne disent oui à 85,2 à un contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Ils refusent par contre l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" (non à 64,1 %)."
6432,"contre-proposition oui",52.8,47.2,"La Brévine (NE)","Les citoyens de La Brévine ont tranché en faveur du contre-projet du Conseil fédéral et du Parlement visant à garantir la disponibilité de l'argent liquide (59 % de oui). Ils ont préféré cette proposition avec 89,9 % de oui. Ils ont toutefois également approuvé avec 52,8 % de oui l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets""."
6433,"deux fois non",27.7,72.3,"Brot-Plamboz (NE)","Ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne trouvent grâce aux yeux des citoyens de Brot-Plamboz. Ils refusent avec 72,3 % de non l’initiative. Ils s'opposent aussi au contre-projet (67,6 % de non), qui vise à garantir la disponibilité de l'argent liquide par des dispositions juridiquement éprouvées."
6434,"contre-proposition oui",84,16,"Le Cerneux-Péquignot (NE)","Les citoyens du Cerneux-Péquignot ont tranché en faveur du contre-projet du Conseil fédéral et du Parlement visant à garantir la disponibilité de l'argent liquide (56,3 % de oui). Ils ont préféré cette proposition avec 91,8 % de oui. Ils ont toutefois également approuvé avec 84 % de oui l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets""."
6435,"deux fois non",41,59,"La Chaux-du-Milieu (NE)","Non à 59 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 92 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens de La Chaux-du-Milieu ont refusé l'initiative et le contre-projet."
6436,"deux fois non",44.8,55.2,"Le Locle (NE)","À Le Locle, ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne convainquent. L'initiative est rejetée avec 55,2 % de non, tandis que le contre-projet, qui vise à garantir la disponibilité de l'argent liquide, est refusé avec 82,9 % de non."
6437,"deux fois non",21.6,78.4,"Les Ponts-de-Martel (NE)","Non à 78,4 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 75,6 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens des Ponts-de-Martel ont refusé l'initiative et le contre-projet."
6451,"contre-proposition oui",48.4,51.6,"Cornaux (NE)","Les citoyens de Cornaux acceptent avec 58,3 % de oui le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Ils s'opposent par contre à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" (non à 51,6 %)."
