"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,94.7,94.7,5.3,"Boudry (NE)","Oui à 94,7 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Boudry. NA"
6408,7.7,7.7,92.3,"Cortaillod (NE)","La population de Cortaillod refuse l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 92,3 pour cent. Cortaillod dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6413,8.7,8.7,91.3,"Rochefort (NE)","À Rochefort, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 91,3 pour cent. Rochefort dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6416,57.4,57.4,42.6,"Milvignes (NE)","La population de Milvignes approuve l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 57,4 pour cent. NA"
6417,47.3,47.3,52.7,"La Grande Béroche (NE)","La population de La Grande Béroche refuse l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 52,7 pour cent. La Grande Béroche et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6421,46.4,46.4,53.6,"La Chaux-de-Fonds (NE)","La population de La Chaux-de-Fonds refuse l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 53,6 pour cent. La Chaux-de-Fonds et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6422,15.8,15.8,84.2,"Les Planchettes (NE)","À Les Planchettes, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 84,2 pour cent. Les Planchettes dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6423,47.9,47.9,52.1,"La Sagne (NE)","Avec 52,1 pour cent des voix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à La Sagne. La Sagne et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6432,19.3,19.3,80.7,"La Brévine (NE)","Avec 80,7 pour cent des voix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à La Brévine. La Brévine dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6433,50,50,50,"Brot-Plamboz (NE)","À Brot-Plamboz, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est acceptée à 50 pour cent. NA"
6434,72.5,72.5,27.5,"Le Cerneux-Péquignot (NE)","La population du Cerneux-Péquignot approuve l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 72,5 pour cent. NA"
6435,32.4,32.4,67.6,"La Chaux-du-Milieu (NE)","Avec 67,6 pour cent des voix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à La Chaux-du-Milieu. La Chaux-du-Milieu et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6436,43.2,43.2,56.8,"Le Locle (NE)","Non à 56,8 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an au Locle. Le Locle et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6437,54.2,54.2,45.8,"Les Ponts-de-Martel (NE)","Oui 54,2 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an aux Ponts-de-Martel. NA"
6451,79.8,79.8,20.2,"Cornaux (NE)","À Cornaux, 79,8 pour cent des votants soutiennent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an. NA"
6452,37.6,37.6,62.4,"Cressier (NE)","La population de Cressier (NE) rejette l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 62,4 pour cent. Cressier (NE) et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6455,99.6,99.6,0.4,"Le Landeron (NE)","À Le Landeron, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est acceptée à 99,6 pour cent. NA"
6456,61.4,61.4,38.6,"Lignières (NE)","À Lignières, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est acceptée à 61,4 pour cent. NA"
6458,84.2,84.2,15.8,"Neuchâtel (NE)","Oui 84,2 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Neuchâtel. NA"
6487,19,19,81,"Val-de-Ruz (NE)","La population de Val-de-Ruz rejette l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 81 pour cent. Val-de-Ruz dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6504,61.2,61.2,38.8,"La Côte-aux-Fées (NE)","Oui à 61,2 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à La Côte-aux-Fées. NA"
6511,9.7,9.7,90.3,"Les Verrières (NE)","À Les Verrières, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 90,3 pour cent. Les Verrières dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Neuchâtel dit non."
6512,54.3,54.3,45.7,"Val-de-Travers (NE)","À Val-de-Travers, 54,3 pour cent des votants soutiennent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an. NA"
6513,23.7,23.7,76.3,"Laténa (NE)","À Laténa, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 76,3 pour cent. Laténa et le canton Neuchâtel rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
