"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,14.3,14.3,85.7,"Häggenschwil SG","Häggenschwil hat die Klimafondsinitiative mit 85,7 Prozent abgelehnt."
3202,16.3,16.3,83.7,"Muolen SG","In Muolen hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 83,7 Prozent der abgegebenen Stimmzettel stand ein Nein."
3203,50,0,0,"St. Gallen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3204,50,0,0,"Wittenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3211,23.3,23.3,76.7,"Berg SG","In Berg SG hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 76,7 Prozent der abgegebenen Stimmzettel stand ein Nein."
3212,50,0,0,"Eggersriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3213,19,19,81,"Goldach SG","Keine Mehrheit für die Klimafondsinitiative in Goldach: Mit 2'645 Nein-Stimmen zu 622 Ja-Stimmen oder 81 Prozent hat die Gemeinde das Volksbegehren verworfen."
3214,50,0,0,"Mörschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3215,30.6,30.6,69.4,"Rorschach SG","Keine Mehrheit für die Klimafondsinitiative in Rorschach: Mit 1'316 Nein-Stimmen zu 579 Ja-Stimmen oder 69,4 Prozent hat die Gemeinde das Volksbegehren verworfen."
3216,19.1,19.1,80.9,"Rorschacherberg SG","Nein zur Klimafondsinitiative in Rorschacherberg: Mit 2'050 Nein- zu 485 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 80,9 Prozent."
3217,20.4,20.4,79.6,"Steinach SG","Steinach hat die Klimafondsinitiative mit 79,6 Prozent abgelehnt."
3218,17.4,17.4,82.6,"Tübach SG","Tübach hat die Klimafondsinitiative mit 82,6 Prozent abgelehnt."
