"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,94.8,94.8,5.2,"Häggenschwil SG","Ja zur SRG-Initiative in Häggenschwil. Die Gemeinde hat das Volksbegehren mit 94,8 Prozent der Stimmen angenommen. Damit hat in Häggenschwil seit der letzten Abstimmung über die Erbschaftssteuer im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,8 Prozent ein Nein in die Urne gelegt."
3202,92.4,92.4,7.6,"Muolen SG","Die Gemeinde Muolen hat die SRG-Initiative mit 92,4 Prozent Ja-Stimmen angenommen. Damit hat in Muolen seit der letzten Abstimmung über die Erbschaftssteuer im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 65,3 Prozent ein Nein in die Urne gelegt."
3203,25.1,25.1,74.9,"St. Gallen SG","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von St. Gallen haben Nein gesagt zur SRG-Initiative. Damit ist in St. Gallen die Ablehnung im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 gestiegen. Damals betrug der Nein-Stimmen-Anteil 70,6 Prozent."
3204,38.5,38.5,61.5,"Wittenbach SG","Wittenbach hat die SRG-Initiative mit 61,5 Prozent abgelehnt. Damit hat die Ablehung in Wittenbach im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 64,3 Prozent."
3211,73.7,73.7,26.3,"Berg SG","Die Gemeinde Berg SG hat die SRG-Initiative mit 73,7 Prozent Ja-Stimmen angenommen. Damit hat in Berg SG seit der letzten Abstimmung über die Erbschaftssteuer im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,7 Prozent ein Nein in die Urne gelegt."
3212,66.5,66.5,33.5,"Eggersriet SG","66,5 Prozent der Stimmbürgerinnen und Stimmbürger von Eggersriet haben die SRG-Initiative angenommen. Damit hat in Eggersriet seit der letzten Abstimmung über die Erbschaftssteuer im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,3 Prozent ein Nein in die Urne gelegt."
3213,97.5,97.5,2.5,"Goldach SG","97,5 Prozent der Abstimmenden in der Gemeinde Goldach haben Ja gesagt zur SRG-Initiative. Damit hat in Goldach seit der letzten Abstimmung über die Erbschaftssteuer im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 61,5 Prozent ein Nein in die Urne gelegt."
3214,44.6,44.6,55.4,"Mörschwil SG","55,4 Prozent der Stimmbürgerinnen und Stimmbürger von Mörschwil haben Nein gesagt zur SRG-Initiative. Damit hat die Ablehung in Mörschwil im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 71,6 Prozent."
3215,48.2,48.2,51.8,"Rorschach SG","Keine Mehrheit für die SRG-Initiative in Rorschach: Mit 6'346 Nein-Stimmen zu 5'910 Ja-Stimmen oder 51,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat die Ablehung in Rorschach im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 62,1 Prozent."
3216,46,46,54,"Rorschacherberg SG","Nein zur SRG-Initiative in Rorschacherberg: Mit 3'646 Nein- zu 3'104 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 54 Prozent. Damit hat die Ablehung in Rorschacherberg im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 60,7 Prozent."
