"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2901,71.3,71.3,28.7,"Gächlingen SH","Gächlingen hat sich mit 55,3 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 71,3 Prozent angenommen."
2903,91.9,91.9,8.1,"Löhningen SH","Die Stimmberechtigten in Löhningen haben die Bargeldinitiative mit 65,3 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 91,9 Prozent. Bei der Stichfrage gaben sie mit 73 Prozent der Initiative den Vorzug."
2904,38.5,38.5,61.5,"Neunkirch SH","Die Bargeldinitiative ist in Neunkirch mit 90,8 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 61,5 Prozent abgelehnt."
2914,52,52,48,"Büttenhardt SH","Die Gemeinde Büttenhardt hat die Bargeldinitiative mit 56,9 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 52 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 59,1 Prozent für den Gegenvorschlag aus."
2915,18.5,18.5,81.5,"Dörflingen SH","Weder die Bargeldinitiative (71,7 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (81,5 Prozent Nein) haben in Dörflingen eine Mehrheit gefunden."
2917,65.4,65.4,34.6,"Lohn SH","Lohn SH hat sich mit 59,9 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 65,4 Prozent angenommen."
2919,52.1,52.1,47.9,"Stetten SH","Die Bargeldinitiative hat in Stetten SH 74,8 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 52,1 Prozent angenommen."
2920,29,29,71,"Thayngen SH","Thayngen hat mit 65,3 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 71 Prozent ab."
2931,95.9,95.9,4.1,"Bargen SH","Die Stimmberechtigten in Bargen SH haben die Bargeldinitiative mit 60,5 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 95,9 Prozent. Bei der Stichfrage gaben sie mit 60,4 Prozent der Initiative den Vorzug."
2932,45.7,45.7,54.3,"Beringen SH","Die Gemeinde Beringen hat die Bargeldinitiative mit 55,7 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 54,3 Prozent abgelehnt."
2933,66.7,66.7,33.3,"Buchberg SH","Die Stimmberechtigten in Buchberg haben die Bargeldinitiative mit 96,6 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \66,7 Prozent. Das Resultat der Stichfrage ergab mit 52,8 Prozent den Vorzug für den Gegenvorschlag."
2936,64.2,64.2,35.8,"Merishausen SH","83 Prozent der Abstimmenden in Merishausen haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 64,2 Prozent."
2937,38.2,38.2,61.8,"Neuhausen am Rheinfall SH","Die Gemeinde Neuhausen am Rheinfall hat die Bargeldinitiative mit 54,9 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 61,8 Prozent abgelehnt."
2938,70.8,70.8,29.2,"Rüdlingen SH","Rüdlingen hat die Initiative Bargeldinitiative mit 53,3 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 70,8 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 87,1 Prozent für die Initiative ausgesprochen."
2939,76.5,76.5,23.5,"Schaffhausen SH","Schaffhausen hat die Initiative Bargeldinitiative mit 75,7 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 76,5 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 59,6 Prozent für die Initiative ausgesprochen."
2951,48.6,48.6,51.4,"Beggingen SH","In Beggingen hat die Stimmbevölkerung der Bargeldinitiative mit 95,4 Prozent zugestimmt. Eine Mehrheit von 51,4 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
2952,38.7,38.7,61.3,"Schleitheim SH","In Schleitheim hat weder die Bargeldinitiative (70,1 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (61,3 Prozent Nein) eine Mehrheit erzielt."
2953,43.4,43.4,56.6,"Siblingen SH","Sowohl die Bargeldinitiative mit 56,8 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 56,6 Prozent Nein-Stimmen haben in Siblingen die Mehrheit verfehlt."
2961,50.6,50.6,49.4,"Buch SH","84,2 Prozent der Abstimmenden in Buch SH haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 50,6 Prozent."
2962,31,31,69,"Hemishofen SH","Die Bargeldinitiative hat in Hemishofen mit 66,4 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 69 Prozent mehrheitlich abgelehnt."
