"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2901,15.2,15.2,84.8,"Gächlingen (SH)","NA NA"
2903,56.8,56.8,43.2,"Löhningen (SH)","NA NA"
2904,85.3,85.3,14.7,"Neunkirch (SH)","NA NA"
2914,47.5,47.5,52.5,"Büttenhardt (SH)","NA NA"
2915,30.5,30.5,69.5,"Dörflingen (SH)","NA NA"
2917,81,81,19,"Lohn (SH)","NA NA"
2919,63.9,63.9,36.1,"Stetten (SH)","NA NA"
2920,58.3,58.3,41.7,"Thayngen (SH)","NA NA"
2931,56.2,56.2,43.8,"Bargen (SH)","NA NA"
2932,70,70,30,"Beringen (SH)","NA NA"
2933,99.8,99.8,0.2,"Buchberg (SH)","NA NA"
2936,57.6,57.6,42.4,"Merishausen (SH)","NA NA"
2937,41.8,41.8,58.2,"Neuhausen am Rheinfall (SH)","NA NA"
2938,63.8,63.8,36.2,"Rüdlingen (SH)","NA NA"
2939,63.6,63.6,36.4,"Schaffhouse (SH)","NA NA"
2951,88.7,88.7,11.3,"Beggingen (SH)","NA NA"
2952,73.2,73.2,26.8,"Schleitheim (SH)","NA NA"
2953,16.6,16.6,83.4,"Siblingen (SH)","NA NA"
2961,35.9,35.9,64.1,"Buch (SH)","NA NA"
2962,1.4,1.4,98.6,"Hemishofen (SH)","NA NA"
2963,99.2,99.2,0.8,"Ramsen (SH)","NA NA"
2964,50.1,50.1,49.9,"Stein am Rhein (SH)","NA NA"
2971,94.7,94.7,5.3,"Hallau (SH)","NA NA"
2972,71.5,71.5,28.5,"Oberhallau (SH)","NA NA"
2973,79.7,79.7,20.3,"Trasadingen (SH)","NA NA"
2974,17.9,17.9,82.1,"Wilchingen (SH)","NA NA"
