"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,13.2,13.2,86.8,"Egerkingen SO","In Egerkingen hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 86,8 Prozent der abgegebenen Stimmzettel stand ein Nein."
2402,15.2,15.2,84.8,"Härkingen SO","Nein zur Klimafondsinitiative in Härkingen. Die Gemeinde hat die Vorlage mit 84,8 Prozent abgelehnt."
2403,14.4,14.4,85.6,"Kestenholz SO","Keine Mehrheit für die Klimafondsinitiative in Kestenholz: Mit 664 Nein-Stimmen zu 112 Ja-Stimmen oder 85,6 Prozent hat die Gemeinde das Volksbegehren verworfen."
2404,18.8,18.8,81.2,"Neuendorf SO","In Neuendorf hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 81,2 Prozent verworfen."
2405,19.7,19.7,80.3,"Niederbuchsiten SO","Nein zur Klimafondsinitiative in Niederbuchsiten: Mit 382 Nein- zu 94 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 80,3 Prozent."
2406,16.7,16.7,83.3,"Oberbuchsiten SO","Nein zur Klimafondsinitiative in Oberbuchsiten: Mit 558 Nein- zu 112 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 83,3 Prozent."
2407,19.7,19.7,80.3,"Oensingen SO","In Oensingen hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 80,3 Prozent verworfen."
2408,13.6,13.6,86.4,"Wolfwil SO","In Wolfwil hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 86,4 Prozent der abgegebenen Stimmzettel stand ein Nein."
2421,14.8,14.8,85.2,"Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 85,2 Prozent verworfen."
2422,17.8,17.8,82.2,"Balsthal SO","Keine Mehrheit für die Klimafondsinitiative in Balsthal: Mit 1'559 Nein-Stimmen zu 337 Ja-Stimmen oder 82,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
2424,15.8,15.8,84.2,"Herbetswil SO","Keine Mehrheit für die Klimafondsinitiative in Herbetswil: Mit 203 Nein-Stimmen zu 38 Ja-Stimmen oder 84,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
2425,10.5,10.5,89.5,"Holderbank SO","89,5 Prozent der Stimmbürgerinnen und Stimmbürger von Holderbank SO haben Nein gesagt zur Klimafondsinitiative."
2426,13.9,13.9,86.1,"Laupersdorf SO","86,1 Prozent der Stimmbürgerinnen und Stimmbürger von Laupersdorf haben Nein gesagt zur Klimafondsinitiative."
2427,12.3,12.3,87.7,"Matzendorf SO","In Matzendorf hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 87,7 Prozent verworfen."
2428,10.7,10.7,89.3,"Mümliswil-Ramiswil SO","89,3 Prozent der Stimmbürgerinnen und Stimmbürger von Mümliswil-Ramiswil haben Nein gesagt zur Klimafondsinitiative."
2430,15,15,85,"Welschenrohr-Gänsbrunnen SO","Keine Mehrheit für die Klimafondsinitiative in Welschenrohr-Gänsbrunnen: Mit 386 Nein-Stimmen zu 68 Ja-Stimmen oder 85 Prozent hat die Gemeinde das Volksbegehren verworfen."
2445,14.8,14.8,85.2,"Biezwil SO","85,2 Prozent der Stimmbürgerinnen und Stimmbürger von Biezwil haben Nein gesagt zur Klimafondsinitiative."
2455,20.3,20.3,79.7,"Lüterkofen-Ichertswil SO","Keine Mehrheit für die Klimafondsinitiative in Lüterkofen-Ichertswil: Mit 302 Nein-Stimmen zu 77 Ja-Stimmen oder 79,7 Prozent hat die Gemeinde das Volksbegehren verworfen."
2457,17.3,17.3,82.7,"Messen SO","Keine Mehrheit für die Klimafondsinitiative in Messen: Mit 535 Nein-Stimmen zu 112 Ja-Stimmen oder 82,7 Prozent hat die Gemeinde das Volksbegehren verworfen."
