"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,"Gegenvorschlag Ja",71.5,28.5,"Einsiedeln SZ","Die Gemeinde Einsiedeln hat die Bargeldinitiative mit 71,5 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 75,3 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 51,1 Prozent für den Gegenvorschlag aus."
1311,"Zweimal Nein",45.6,54.4,"Gersau SZ","Sowohl die Bargeldinitiative mit 54,4 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 51,3 Prozent Nein-Stimmen haben in Gersau die Mehrheit verfehlt."
1321,"Gegenvorschlag Ja",84.2,15.8,"Feusisberg SZ","84,2 Prozent der Stimmbürgerinnen und Stimmbürger von Feusisberg haben sich für die Bargeldinitiative und 89,4 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 55,6 Prozent dem Gegenvorschlag den Vorrang."
1322,"Gegenvorschlag Ja",48.7,51.3,"Freienbach SZ","Freienbach hat sich mit 51,3 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 54,3 Prozent angenommen."
1323,"Gegenvorschlag Ja",6.1,93.9,"Wollerau SZ","Die Bargeldinitiative hat in Wollerau 93,9 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 60,4 Prozent angenommen."
1331,"Zweimal Nein",30.3,69.7,"Küssnacht SZ","Weder die Bargeldinitiative (69,7 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (88,1 Prozent Nein) haben in Küssnacht SZ eine Mehrheit gefunden."
1341,"Gegenvorschlag Ja",41.2,58.8,"Altendorf SZ","Altendorf hat mit 58,8 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 74,1 Prozent."
1342,"Gegenvorschlag Ja",2.6,97.4,"Galgenen SZ","Galgenen hat sich mit 97,4 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 59,6 Prozent angenommen."
1343,"Gegenvorschlag Ja",98.4,1.6,"Innerthal SZ","98,4 Prozent der Stimmbürgerinnen und Stimmbürger von Innerthal haben sich für die Bargeldinitiative und 69,4 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 94,3 Prozent dem Gegenvorschlag den Vorrang."
1344,"Gegenvorschlag Ja",42.2,57.8,"Lachen SZ","Lachen hat sich mit 57,8 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 56,3 Prozent angenommen."
1345,"Initiative Ja",79,21,"Reichenburg SZ","79 Prozent der Stimmbürgerinnen und Stimmbürger von Reichenburg haben sich für die Bargeldinitiative und 58,8 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 59,9 Prozent der Initiative den Vorrang."
1346,"Gegenvorschlag Ja",68,32,"Schübelbach SZ","Die Stimmbürgerinnen und Stimmbürger von Schübelbach stimmten mit 68 Prozent für die Bargeldinitiative und mit 66,9 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 50,6 Prozent für den Gegenvorschlag."
1347,"Gegenvorschlag Ja",51,49,"Tuggen SZ","Die Stimmbürgerinnen und Stimmbürger von Tuggen stimmten mit 51 Prozent für die Bargeldinitiative und mit 59,5 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 77,5 Prozent für den Gegenvorschlag."
1348,"Gegenvorschlag Ja",27.5,72.5,"Vorderthal SZ","Vorderthal hat sich mit 72,5 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 75,7 Prozent angenommen."
1349,"Initiative Ja",76.2,23.8,"Wangen SZ","Die Bargeldinitiative hat in Wangen SZ mit 76,2 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 59,8 Prozent mehrheitlich abgelehnt."
1361,"Initiative Ja",53.1,46.9,"Alpthal SZ","Die Bargeldinitiative ist in Alpthal mit 53,1 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 69,6 Prozent abgelehnt."
1362,"Zweimal Nein",24.7,75.3,"Arth SZ","Sowohl die Bargeldinitiative (75,3 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (83,1 Prozent Nein) sind in Arth durchgefallen."
1363,"Gegenvorschlag Ja",19.7,80.3,"Illgau SZ","Illgau hat mit 80,3 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 62,2 Prozent."
1364,"Gegenvorschlag Ja",48.8,51.2,"Ingenbohl SZ","51,2 Prozent der Stimmberechtigten in Ingenbohl haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 60,7 Prozent eine Mehrheit."
1365,"Initiative Ja",68.6,31.4,"Lauerz SZ","Die Bargeldinitiative ist in Lauerz mit 68,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 70,9 Prozent abgelehnt."
1366,"Zweimal Nein",35.4,64.6,"Morschach SZ","Sowohl die Bargeldinitiative (64,6 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (79,4 Prozent Nein) sind in Morschach durchgefallen."
1367,"Initiative Ja",89.4,10.6,"Muotathal SZ","Muotathal hat mit 89,4 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 69,9 Prozent ab."
1368,"Gegenvorschlag Ja",73.3,26.7,"Oberiberg SZ","73,3 Prozent der Stimmbürgerinnen und Stimmbürger von Oberiberg haben sich für die Bargeldinitiative und 64,9 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 83,8 Prozent dem Gegenvorschlag den Vorrang."
1369,"Zweimal Nein",40.7,59.3,"Riemenstalden SZ","Sowohl die Bargeldinitiative (59,3 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (57,2 Prozent Nein) sind in Riemenstalden durchgefallen."
1370,"Initiative Ja",96.6,3.4,"Rothenthurm SZ","Die Bargeldinitiative ist in Rothenthurm mit 96,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 55,2 Prozent abgelehnt."
1371,"Gegenvorschlag Ja",43.4,56.6,"Sattel SZ","56,6 Prozent der Abstimmenden in Sattel haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 59,8 Prozent."
1372,"Gegenvorschlag Ja",13.5,86.5,"Schwyz SZ","Die Bargeldinitiative hat in Schwyz 86,5 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 76,3 Prozent angenommen."
1373,"Gegenvorschlag Ja",54.9,45.1,"Steinen SZ","Die Stimmberechtigten in Steinen haben die Bargeldinitiative mit 54,9 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \62,6 Prozent. Das Resultat der Stichfrage ergab mit 50,8 Prozent den Vorzug für den Gegenvorschlag."
1374,"Initiative Ja",77.2,22.8,"Steinerberg SZ","In Steinerberg hat die Stimmbevölkerung der Bargeldinitiative mit 77,2 Prozent zugestimmt. Eine Mehrheit von 65,2 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
1375,"Initiative Ja",80.1,19.9,"Unteriberg SZ","Die Bargeldinitiative ist in Unteriberg mit 80,1 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 96,9 Prozent abgelehnt."
