"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,23.4,23.4,76.6,"Einsiedeln SZ","Einsiedeln hat sowohl die Bargeldinitiative (78,5 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (81,9 Prozent Nein) abgelehnt."
1311,47.3,47.3,52.7,"Gersau SZ","65,4 Prozent der Stimmberechtigten in Gersau haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 65,6 Prozent eine Mehrheit."
1321,90.2,90.2,9.8,"Feusisberg SZ","Feusisberg hat mit 50,9 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 66,3 Prozent ab."
1322,4.9,4.9,95.1,"Freienbach SZ","Die Gemeinde Freienbach hat die Bargeldinitiative mit 91,3 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 71,1 Prozent abgelehnt."
1323,59.6,59.6,40.4,"Wollerau SZ","In Wollerau hat die Stimmbevölkerung der Bargeldinitiative mit 56,4 Prozent zugestimmt. Eine Mehrheit von 58,2 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
1331,43.2,43.2,56.8,"Küssnacht SZ","Küssnacht SZ hat mit 86,2 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 98,1 Prozent ab."
1341,68.3,68.3,31.7,"Altendorf SZ","Altendorf hat die Initiative Bargeldinitiative mit 56,2 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 87,3 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 68,3 Prozent für die Initiative ausgesprochen."
1342,14.5,14.5,85.5,"Galgenen SZ","Galgenen hat sich mit 52,4 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 74,3 Prozent angenommen."
1343,69.6,69.6,30.4,"Innerthal SZ","57,6 Prozent der Abstimmenden in Innerthal haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 90,2 Prozent."
1344,20.6,20.6,79.4,"Lachen SZ","Sowohl die Bargeldinitiative (67,5 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (82,6 Prozent Nein) sind in Lachen durchgefallen."
1345,49.8,49.8,50.2,"Reichenburg SZ","62,1 Prozent der Stimmberechtigten in Reichenburg haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 61,2 Prozent eine Mehrheit."
1346,12.6,12.6,87.4,"Schübelbach SZ","In Schübelbach hat die Stimmbevölkerung der Bargeldinitiative mit 68,5 Prozent zugestimmt. Eine Mehrheit von 52,8 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
1347,51.2,51.2,48.8,"Tuggen SZ","Die Stimmberechtigten in Tuggen haben die Bargeldinitiative mit 95,5 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 99,6 Prozent. Bei der Stichfrage gaben sie mit 51,2 Prozent der Initiative den Vorzug."
1348,39.7,39.7,60.3,"Vorderthal SZ","Sowohl die Bargeldinitiative (82,8 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (91,3 Prozent Nein) sind in Vorderthal durchgefallen."
1349,74,74,26,"Wangen SZ","76,2 Prozent der Stimmberechtigten in Wangen SZ haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 56,4 Prozent eine Mehrheit."
1361,71.5,71.5,28.5,"Alpthal SZ","Alpthal hat mit 68,9 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 64,5 Prozent."
1362,50,50,50,"Arth SZ","Die Gemeinde Arth hat die Bargeldinitiative mit 52,6 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 68,8 Prozent abgelehnt."
1363,54.9,54.9,45.1,"Illgau SZ","Die Bargeldinitiative ist in Illgau mit 55,5 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 71,6 Prozent abgelehnt."
1364,37.5,37.5,62.5,"Ingenbohl SZ","Die Stimmberechtigten in Ingenbohl haben die Bargeldinitiative mit 87,9 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \85 Prozent. Das Resultat der Stichfrage ergab mit 62,5 Prozent den Vorzug für den Gegenvorschlag."
1365,12.6,12.6,87.4,"Lauerz SZ","Die Gemeinde Lauerz hat die Bargeldinitiative mit 50,1 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 53,2 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 87,4 Prozent für den Gegenvorschlag aus."
1366,92.6,92.6,7.4,"Morschach SZ","Sowohl die Bargeldinitiative (53,9 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (54 Prozent Nein) sind in Morschach durchgefallen."
