"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4401,"Initiative Ja",79.7,20.3,"Arbon TG","Die Gemeinde Arbon hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 79,7 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 57,2 Prozent abgelehnt."
4406,"Gegenvorschlag Ja",64.1,35.9,"Dozwil TG","Die Gemeinde Dozwil hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 64,1 Prozent und den Gegenvorschlag von Kantons- und Regierungsrat mit 58,2 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 55,4 Prozent für den Gegenvorschlag aus."
4411,"Gegenvorschlag Ja",87.5,12.5,"Egnach TG","Die Gemeinde Egnach hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 87,5 Prozent und den Gegenvorschlag von Kantons- und Regierungsrat mit 67,8 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 87,3 Prozent für den Gegenvorschlag aus."
4416,"Gegenvorschlag Ja",82.6,17.4,"Hefenhofen TG",
4421,"Initiative Ja",68.1,31.9,"Horn TG","Horn hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 68,1 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 61,2 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 60,6 Prozent für die Initiative ausgesprochen."
4426,"Gegenvorschlag Ja",45.7,54.3,"Kesswil TG",
4431,"Initiative Ja",69.7,30.3,"Roggwil TG",
4436,"Initiative Ja",55.3,44.7,"Romanshorn TG","55,3 Prozent der Stimmbürgerinnen und Stimmbürger von Romanshorn haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 95,5 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 64,3 Prozent der Initiative den Vorrang."
4441,"Gegenvorschlag Ja",21.7,78.3,"Salmsach TG","78,3 Prozent der Abstimmenden in Salmsach haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 62,4 Prozent."
4446,"Gegenvorschlag Ja",39.2,60.8,"Sommeri TG","Sommeri hat sich mit 60,8 Prozent gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 69 Prozent angenommen."
4451,"Gegenvorschlag Ja",15,85,"Uttwil TG",
4461,"Gegenvorschlag Ja",40.2,59.8,"Amriswil TG","Amriswil hat mit 59,8 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 71,3 Prozent."
4471,"Initiative Ja",62.2,37.8,"Bischofszell TG","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Bischofszell mit 62,2 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 58,2 Prozent abgelehnt."
4476,"Gegenvorschlag Ja",37.5,62.5,"Erlen TG",
4486,"Zweimal Nein",46,54,"Hauptwil-Gottshaus TG",
4495,"Initiative Ja",58.9,41.1,"Hohentannen TG","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Hohentannen mit 58,9 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 76,9 Prozent abgelehnt."
4501,"Initiative Ja",66.3,33.7,"Kradolf-Schönenberg TG","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Kradolf-Schönenberg mit 66,3 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 74,4 Prozent abgelehnt."
4506,"Initiative Ja",53.6,46.4,"Sulgen TG","53,6 Prozent der Stimmbürgerinnen und Stimmbürger von Sulgen haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 53,6 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 56,1 Prozent der Initiative den Vorrang."
4511,"Gegenvorschlag Ja",48.7,51.3,"Zihlschlacht-Sitterdorf TG",
4536,"Zweimal Nein",14.7,85.3,"Basadingen-Schlattingen TG","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (85,3 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (69,8 Prozent Nein) haben in Basadingen-Schlattingen eine Mehrheit gefunden."
4545,"Zweimal Nein",5,95,"Diessenhofen TG",
4546,"Gegenvorschlag Ja",28,72,"Schlatt TG","72 Prozent der Abstimmenden in Schlatt TG haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 95,6 Prozent."
4551,"Initiative Ja",72.5,27.5,"Aadorf TG",
4561,"Initiative Ja",77.1,22.9,"Felben-Wellhausen TG",
4566,"Gegenvorschlag Ja",56.4,43.6,"Frauenfeld TG","56,4 Prozent der Stimmbürgerinnen und Stimmbürger von Frauenfeld haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 88,8 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 66,9 Prozent dem Gegenvorschlag den Vorrang."
4571,"Zweimal Nein",45.5,54.5,"Gachnang TG","Gachnang hat sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (54,5 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (50,1 Prozent Nein) abgelehnt."
4590,"Zweimal Nein",8.6,91.4,"Hüttlingen TG","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (91,4 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (59,7 Prozent Nein) sind in Hüttlingen durchgefallen."
4591,"Zweimal Nein",49.2,50.8,"Matzingen TG",
4601,"Initiative Ja",68.5,31.5,"Neunforn TG","68,5 Prozent der Stimmbürgerinnen und Stimmbürger von Neunforn haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 68,1 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 95,4 Prozent der Initiative den Vorrang."
4606,"Zweimal Nein",41.5,58.5,"Stettfurt TG",
4611,"Gegenvorschlag Ja",28.8,71.2,"Thundorf TG","71,2 Prozent der Abstimmenden in Thundorf haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 81,6 Prozent."
4616,"Initiative Ja",69.2,30.8,"Uesslingen-Buch TG",
4621,"Gegenvorschlag Ja",45.8,54.2,"Warth-Weiningen TG",
4641,"Initiative Ja",95.6,4.4,"Altnau TG",
4643,"Zweimal Nein",35.6,64.4,"Bottighofen TG",
4646,"Gegenvorschlag Ja",67.6,32.4,"Ermatingen TG","67,6 Prozent der Stimmbürgerinnen und Stimmbürger von Ermatingen haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 83,5 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 57,6 Prozent dem Gegenvorschlag den Vorrang."
4651,"Gegenvorschlag Ja",76.9,23.1,"Gottlieben TG",
4656,"Gegenvorschlag Ja",22.7,77.3,"Güttingen TG","Güttingen hat mit 77,3 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 59,1 Prozent."
4666,"Gegenvorschlag Ja",30.3,69.7,"Kemmental TG","Kemmental hat sich mit 69,7 Prozent gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 52,1 Prozent angenommen."
4671,"Gegenvorschlag Ja",52.2,47.8,"Kreuzlingen TG",
4681,"Zweimal Nein",9.7,90.3,"Langrickenbach TG","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (90,3 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (63,1 Prozent Nein) sind in Langrickenbach durchgefallen."
4683,"Initiative Ja",90.6,9.4,"Lengwil TG","Die Gemeinde Lengwil hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 90,6 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 66,6 Prozent abgelehnt."
4691,"Zweimal Nein",21.3,78.7,"Münsterlingen TG",
4696,"Gegenvorschlag Ja",59.7,40.3,"Tägerwilen TG",
4701,"Gegenvorschlag Ja",74.2,25.8,"Wäldi TG","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Wäldi mit 74,2 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 92,4 Prozent. Bei der Stichfrage bevorzugten 54,3 Prozent den Gegenvorschlag."
4711,"Zweimal Nein",20.7,79.3,"Affeltrangen TG","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (79,3 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (86,2 Prozent Nein) sind in Affeltrangen durchgefallen."
4716,"Gegenvorschlag Ja",83.8,16.2,"Bettwiesen TG",
4721,"Gegenvorschlag Ja",49.7,50.3,"Bichelsee-Balterswil TG",
4723,"Initiative Ja",97.4,2.6,"Braunau TG","Die Initiative ""Für ein Grundrecht auf digitale Integrität"" ist in Braunau mit 97,4 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 55 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 62,6 Prozent für die Initiative ausgesprochen."
