"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4401,35.3,35.3,64.7,"Arbon TG","Die Gemeinde Arbon hat die Bargeldinitiative mit 53,7 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 81,6 Prozent abgelehnt."
4406,96.1,96.1,3.9,"Dozwil TG","Dozwil hat die Initiative Bargeldinitiative mit 51,9 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 84,3 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 96,1 Prozent für die Initiative ausgesprochen."
4411,30.7,30.7,69.3,"Egnach TG","Die Gemeinde Egnach hat die Bargeldinitiative mit 56,2 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 54,3 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 69,3 Prozent für den Gegenvorschlag aus."
4416,48,48,52,"Hefenhofen TG","Sowohl die Bargeldinitiative mit 75,8 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 55,6 Prozent Nein-Stimmen haben in Hefenhofen die Mehrheit verfehlt."
4421,56.8,56.8,43.2,"Horn TG","Die Bargeldinitiative ist in Horn mit 60,8 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 67,2 Prozent abgelehnt."
4426,55,55,45,"Kesswil TG","Die Stimmberechtigten in Kesswil haben die Bargeldinitiative mit 86,1 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 67,2 Prozent. Bei der Stichfrage gaben sie mit 55 Prozent der Initiative den Vorzug."
4431,0.2,0.2,99.8,"Roggwil TG","In Roggwil TG hat weder die Bargeldinitiative (83,7 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (66,1 Prozent Nein) eine Mehrheit erzielt."
4436,90.2,90.2,9.8,"Romanshorn TG","Weder die Bargeldinitiative (93,2 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (58,8 Prozent Nein) haben in Romanshorn eine Mehrheit gefunden."
4441,70.3,70.3,29.7,"Salmsach TG","Weder die Bargeldinitiative (71 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (94,5 Prozent Nein) haben in Salmsach eine Mehrheit gefunden."
4446,64.6,64.6,35.4,"Sommeri TG","Die Bargeldinitiative ist in Sommeri mit 99,1 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 91,4 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 64,6 Prozent für die Initiative ausgesprochen."
4451,48.4,48.4,51.6,"Uttwil TG","Die Stimmberechtigten in Uttwil haben die Bargeldinitiative mit 50,4 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \54,4 Prozent. Das Resultat der Stichfrage ergab mit 51,6 Prozent den Vorzug für den Gegenvorschlag."
4461,61.7,61.7,38.3,"Amriswil TG","Amriswil hat die Initiative Bargeldinitiative mit 93,9 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 85,4 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 61,7 Prozent für die Initiative ausgesprochen."
4471,52.8,52.8,47.2,"Bischofszell TG","Bischofszell hat mit 68,1 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 63,7 Prozent."
4476,75.5,75.5,24.5,"Erlen TG","Die Stimmberechtigten in Erlen haben die Bargeldinitiative mit 68,7 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 90,2 Prozent. Bei der Stichfrage gaben sie mit 75,5 Prozent der Initiative den Vorzug."
4486,70.2,70.2,29.8,"Hauptwil-Gottshaus TG","In Hauptwil-Gottshaus hat die Stimmbevölkerung der Bargeldinitiative mit 50 Prozent zugestimmt. Eine Mehrheit von 90 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
4495,97.1,97.1,2.9,"Hohentannen TG","Hohentannen hat die Initiative Bargeldinitiative mit 60,1 Prozent und den Gegenvorschlag von Bundesrat und Parlaments mit 67,8 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 97,1 Prozent für die Initiative ausgesprochen."
4501,64.7,64.7,35.3,"Kradolf-Schönenberg TG","Die Bargeldinitiative ist in Kradolf-Schönenberg mit 72,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 74,2 Prozent abgelehnt."
4506,29,29,71,"Sulgen TG","Weder die Bargeldinitiative (55,6 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (59,9 Prozent Nein) haben in Sulgen eine Mehrheit gefunden."
4511,71.2,71.2,28.8,"Zihlschlacht-Sitterdorf TG","In Zihlschlacht-Sitterdorf hat weder die Bargeldinitiative (65,7 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (85,3 Prozent Nein) eine Mehrheit erzielt."
4536,81.9,81.9,18.1,"Basadingen-Schlattingen TG","61,7 Prozent der Abstimmenden in Basadingen-Schlattingen haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 65,4 Prozent."
4545,46.4,46.4,53.6,"Diessenhofen TG","Die Stimmbürgerinnen und Stimmbürger von Diessenhofen stimmten mit 63,9 Prozent für die Bargeldinitiative und mit 54,7 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 53,6 Prozent für den Gegenvorschlag."
4546,23.3,23.3,76.7,"Schlatt TG","Schlatt TG hat mit 53,2 Prozent Ja gesagt zur Bargeldinitiative. Den Gegenvorschlag von Bundesrat und Parlament lehnte eine Mehrheit von 56 Prozent ab."
4551,50.8,50.8,49.2,"Aadorf TG","Die Bargeldinitiative hat in Aadorf mit 61,3 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 95 Prozent mehrheitlich abgelehnt."
4561,47.5,47.5,52.5,"Felben-Wellhausen TG","Die Stimmberechtigten in Felben-Wellhausen haben die Bargeldinitiative mit 64,8 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \68 Prozent. Das Resultat der Stichfrage ergab mit 52,5 Prozent den Vorzug für den Gegenvorschlag."
4566,15.7,15.7,84.3,"Frauenfeld TG","58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Frauenfeld haben sich für die Bargeldinitiative und 56,4 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 84,3 Prozent dem Gegenvorschlag den Vorrang."
4571,33.4,33.4,66.6,"Gachnang TG","Gachnang hat mit 59,9 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 51,1 Prozent."
4590,69,69,31,"Hüttlingen TG","Die Bargeldinitiative ist in Hüttlingen mit 90,5 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 56,4 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 69 Prozent für die Initiative ausgesprochen."
4591,63.7,63.7,36.3,"Matzingen TG","56,9 Prozent der Stimmberechtigten in Matzingen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 91,9 Prozent eine Mehrheit."
4601,45.8,45.8,54.2,"Neunforn TG","54,7 Prozent der Abstimmenden in Neunforn haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 55,7 Prozent."
4606,22.4,22.4,77.6,"Stettfurt TG","Sowohl die Bargeldinitiative mit 61,1 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 67,1 Prozent Nein-Stimmen haben in Stettfurt die Mehrheit verfehlt."
4611,43.7,43.7,56.3,"Thundorf TG","54,4 Prozent der Abstimmenden in Thundorf haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 76,6 Prozent."
4616,38.7,38.7,61.3,"Uesslingen-Buch TG","Die Stimmbürgerinnen und Stimmbürger von Uesslingen-Buch stimmten mit 72,3 Prozent für die Bargeldinitiative und mit 80,2 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 61,3 Prozent für den Gegenvorschlag."
4621,35.2,35.2,64.8,"Warth-Weiningen TG","Die Stimmberechtigten in Warth-Weiningen haben die Bargeldinitiative mit 51,1 Prozent an angenommen und befürworten auch den Gegenvorschlag von Bundesrat und Parlament mit \69,2 Prozent. Das Resultat der Stichfrage ergab mit 64,8 Prozent den Vorzug für den Gegenvorschlag."
4641,40,40,60,"Altnau TG","In Altnau hat weder die Bargeldinitiative (58,8 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (60 Prozent Nein) eine Mehrheit erzielt."
4643,5.2,5.2,94.8,"Bottighofen TG","65,8 Prozent der Stimmberechtigten in Bottighofen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 56,2 Prozent eine Mehrheit."
4646,44.4,44.4,55.6,"Ermatingen TG","Weder die Bargeldinitiative (71,6 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (57,8 Prozent Nein) haben in Ermatingen eine Mehrheit gefunden."
4651,73,73,27,"Gottlieben TG","66,2 Prozent der Stimmberechtigten in Gottlieben haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 52,7 Prozent eine Mehrheit."
4656,51.8,51.8,48.2,"Güttingen TG","Güttingen hat sowohl die Bargeldinitiative (62,4 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (51,1 Prozent Nein) abgelehnt."
4666,29.9,29.9,70.1,"Kemmental TG","Sowohl die Bargeldinitiative (58,1 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (59,4 Prozent Nein) sind in Kemmental durchgefallen."
4671,57,57,43,"Kreuzlingen TG","Sowohl die Bargeldinitiative mit 92,8 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 89,1 Prozent Nein-Stimmen haben in Kreuzlingen die Mehrheit verfehlt."
4681,71.8,71.8,28.2,"Langrickenbach TG","Die Bargeldinitiative ist in Langrickenbach mit 54,6 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 97,8 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 71,8 Prozent für die Initiative ausgesprochen."
4683,30.6,30.6,69.4,"Lengwil TG","Die Bargeldinitiative ist in Lengwil mit 62 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 86,9 Prozent. Bei der Stichfrage bevorzugten 69,4 Prozent den Gegenvorschlag."
4691,47.7,47.7,52.3,"Münsterlingen TG","Sowohl die Bargeldinitiative mit 85,5 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 68,9 Prozent Nein-Stimmen haben in Münsterlingen die Mehrheit verfehlt."
4696,77.8,77.8,22.2,"Tägerwilen TG","64,5 Prozent der Stimmbürgerinnen und Stimmbürger von Tägerwilen haben sich für die Bargeldinitiative und 92,7 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 77,8 Prozent der Initiative den Vorrang."
4701,49.2,49.2,50.8,"Wäldi TG","Sowohl die Bargeldinitiative (72 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (68,5 Prozent Nein) sind in Wäldi durchgefallen."
4711,80.4,80.4,19.6,"Affeltrangen TG","Affeltrangen hat sich mit 59,6 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 66 Prozent angenommen."
4716,37.1,37.1,62.9,"Bettwiesen TG","65,5 Prozent der Stimmberechtigten in Bettwiesen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 54,1 Prozent eine Mehrheit."
4721,43.8,43.8,56.2,"Bichelsee-Balterswil TG","Die Stimmbürgerinnen und Stimmbürger von Bichelsee-Balterswil stimmten mit 60,3 Prozent für die Bargeldinitiative und mit 88,9 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 56,2 Prozent für den Gegenvorschlag."
4723,69.6,69.6,30.4,"Braunau TG","Sowohl die Bargeldinitiative (55,4 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (56,5 Prozent Nein) sind in Braunau durchgefallen."
4724,63.3,63.3,36.7,"Eschlikon TG","Eschlikon hat mit 65,3 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 63,4 Prozent."
4726,55.8,55.8,44.2,"Fischingen TG","84,7 Prozent der Stimmbürgerinnen und Stimmbürger von Fischingen haben sich für die Bargeldinitiative und 96,8 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 55,8 Prozent der Initiative den Vorrang."
4741,53.5,53.5,46.5,"Lommis TG","54,8 Prozent der Stimmberechtigten in Lommis haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 75,7 Prozent eine Mehrheit."
4746,12,12,88,"Münchwilen TG","Die Bargeldinitiative hat in Münchwilen TG 89 Prozent Gegenstimmen erhalten. Der Gegenvorschlag des Regierungs- und Kantonsrates wurde hingegen von 76,3 Prozent angenommen."
4751,27.6,27.6,72.4,"Rickenbach TG","66,2 Prozent der Stimmbürgerinnen und Stimmbürger von Rickenbach TG haben sich für die Bargeldinitiative und 64,1 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 72,4 Prozent dem Gegenvorschlag den Vorrang."
4756,7.3,7.3,92.7,"Schönholzerswilen TG","58,1 Prozent der Stimmberechtigten in Schönholzerswilen haben die Bargeldinitiative abgelehnt. Im Gegensatz dazu fand der Gegenvorschlag des Regierungs- und Kantonsrates mit 77,8 Prozent eine Mehrheit."
4761,44.4,44.4,55.6,"Sirnach TG","Weder die Bargeldinitiative (79,5 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (82,6 Prozent Nein) haben in Sirnach eine Mehrheit gefunden."
4776,59.3,59.3,40.7,"Tobel-Tägerschen TG","Die Gemeinde Tobel-Tägerschen hat die Bargeldinitiative mit 74,7 Prozent angenommen. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 54,4 Prozent abgelehnt."
4781,24.2,24.2,75.8,"Wängi TG","In Wängi hat weder die Bargeldinitiative (56 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (97,5 Prozent Nein) eine Mehrheit erzielt."
4786,17.6,17.6,82.4,"Wilen TG","Die Gemeinde Wilen TG hat die Bargeldinitiative mit 72,4 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 63,4 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 82,4 Prozent für den Gegenvorschlag aus."
4791,35.2,35.2,64.8,"Wuppenau TG","74,4 Prozent der Stimmbürgerinnen und Stimmbürger von Wuppenau haben sich für die Bargeldinitiative und 55 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 64,8 Prozent dem Gegenvorschlag den Vorrang."
