"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4401,54.5,54.5,45.5,"Arbon TG","In Arbon erhält die Individualbesteuerung 54,5 Prozent Zustimmung. Arbon stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4406,66.7,66.7,33.3,"Dozwil TG","In Dozwil erhält die Individualbesteuerung 66,7 Prozent Zustimmung. Dozwil stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4411,18.4,18.4,81.6,"Egnach TG","Mit 81,6 Prozent wird die Individualbesteuerung in Egnach verworfen. Egnach sagt Nein zur Individualbesteuerung, während im Kanton Thurgau Zustimmung herrscht."
4416,77.6,77.6,22.4,"Hefenhofen TG","In Hefenhofen erhält die Individualbesteuerung 77,6 Prozent Zustimmung. Hefenhofen stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4421,68,68,32,"Horn TG","In Horn wird die Individualbesteuerung mit 68 Prozent angenommen. Horn stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4426,57.6,57.6,42.4,"Kesswil TG","57,6 Prozent der Stimmbürgerinnen und Stimmbürger von Kesswil haben sich für die Individualbesteuerung ausgesprochen. Kesswil stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4431,1.6,1.6,98.4,"Roggwil TG","98,4 Prozent der Stimmbürgerinnen und Stimmbürger von Roggwil TG haben die Individualbesteuerung abgelehnt. Roggwil TG sagt Nein zur Individualbesteuerung, während im Kanton Thurgau Zustimmung herrscht."
4436,50.4,50.4,49.6,"Romanshorn TG","50,4 Prozent der Stimmbürgerinnen und Stimmbürger von Romanshorn haben sich für die Individualbesteuerung ausgesprochen. Romanshorn stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4441,98.8,98.8,1.2,"Salmsach TG","Salmsach hat die Individualbesteuerung angenommen, und der Ja-Stimmen-Anteil liegt bei 98,8 Prozent. Salmsach stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4446,41.5,41.5,58.5,"Sommeri TG","In Sommeri findet die Individualbesteuerung mit 58,5 Prozent keine Mehrheit. Sommeri sagt Nein zur Individualbesteuerung, während im Kanton Thurgau Zustimmung herrscht."
4451,53,53,47,"Uttwil TG","In Uttwil erhält die Individualbesteuerung 53 Prozent Zustimmung. Uttwil stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4461,70.3,70.3,29.7,"Amriswil TG","In Amriswil wird die Individualbesteuerung mit 70,3 Prozent angenommen. Amriswil stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4471,62.2,62.2,37.8,"Bischofszell TG","In Bischofszell wird die Individualbesteuerung mit 62,2 Prozent angenommen. Bischofszell stimmt, wie der Kanton Thurgau, für die Individualbesteuerung zu."
4476,0.2,0.2,99.8,"Erlen TG","Schweizweit Rang zwei beim Nein-Anteil zu Abschafffung des Eigenmietwerts für Erlen: 99,8 Prozent. Erlen verzeichnet im Kanton Thurgau den höchsten Anteil an Nein-Stimmen zur Individualbesteuerung."
4486,18.7,18.7,81.3,"Hauptwil-Gottshaus TG","81,3 Prozent der Stimmbürgerinnen und Stimmbürger von Hauptwil-Gottshaus haben sich gegen die Individualbesteuerung ausgesprochen. Hauptwil-Gottshaus sagt Nein zur Individualbesteuerung, während im Kanton Thurgau Zustimmung herrscht."
