"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,50,0,0,"Arbedo-Castione (TI)","I risultati di questo comune non sono ancora noti."
5002,50,0,0,"Bellinzona (TI)","I risultati di questo comune non sono ancora noti."
5003,64.3,64.3,35.7,"Cadenazzo (TI)","È stata approvata col 67,3 % l'Iniziativa sul denaro contante. Sì con il 62,7 % anche al controprogetto. I cittadini di Cadenazzo hanno però preferito l'inizaitiva con il 64,3 % ."
5009,70.7,70.7,29.3,"Isone (TI)","Sì col 76,9 % all'Iniziativa sul denaro contante. Approvato con il 66,8 % anche il controprogetto. I cittadini di Isone hanno però preferito l'inizaitiva con il 70,7 % ."
5010,47.8,47.8,52.2,"Lumino (TI)","Sì col 53,9 % all'Iniziativa sul denaro contante. Sì con il 66,3 % anche al controprogetto. I cittadini di Lumino hanno però preferito il controprogetto con il 47,8 % ."
5017,58.4,58.4,41.6,"Sant'Antonino (TI)","Sì col 63,1 % all'Iniziativa sul denaro contante. Sì con il 66 % anche al controprogetto. I cittadini di Sant'Antonino hanno però preferito l'inizaitiva con il 58,4 % ."
5048,55,55,45,"Acquarossa (TI)","Sì col 62,9 % all'Iniziativa sul denaro contante. Sì con il 70,6 % anche al controprogetto. I cittadini di Acquarossa hanno però preferito l'iniziativa con il 55 % ."
5049,60,60,40,"Blenio (TI)","Sì col 65,6 % all'Iniziativa sul denaro contante. Approvato con il 72,5 % anche il controprogetto. I cittadini di Blenio hanno però preferito l'inizaitiva con il 60 % ."
5050,58.9,58.9,41.1,"Serravalle (TI)","Sì col 64,8 % all'Iniziativa sul denaro contante. Sì con il 69,5 % anche al controprogetto. I cittadini di Serravalle hanno però preferito l'inizaitiva con il 58,9 % ."
5061,54.3,54.3,45.7,"Airolo (TI)","È stata approvata col 60,8 % l'Iniziativa sul denaro contante. Sì con il 73,9 % anche al controprogetto. I cittadini di Airolo hanno però preferito l'inizaitiva con il 54,3 % ."
5063,60.9,60.9,39.1,"Bedretto (TI)","Sì col 62,2 % all'Iniziativa sul denaro contante. Approvato con il 75,4 % anche il controprogetto. I cittadini di Bedretto hanno però preferito l'inizaitiva con il 60,9 % ."
5071,54.1,54.1,45.9,"Dalpe (TI)","Sì col 57,5 % all'Iniziativa sul denaro contante. Sì con il 74,2 % anche al controprogetto. I cittadini di Dalpe hanno però preferito l'inizaitiva con il 54,1 % ."
5072,55.3,55.3,44.7,"Faido (TI)","Sì col 62,6 % all'Iniziativa sul denaro contante. Sì con il 71,7 % anche al controprogetto. I cittadini di Faido hanno però preferito l'inizaitiva con il 55,3 % ."
5073,55.4,55.4,44.6,"Giornico (TI)","Sì col 60,7 % all'Iniziativa sul denaro contante. Sì con il 63,7 % anche al controprogetto. I cittadini di Giornico hanno però preferito l'iniziativa con il 55,4 % ."
5076,49.3,49.3,50.7,"Personico (TI)","Sì col 57,3 % all'Iniziativa sul denaro contante. Sì con il 73 % anche al controprogetto. I cittadini di Personico hanno però preferito il controprogetto con il 49,3 % ."
5077,57.6,57.6,42.4,"Pollegio (TI)","Sì col 63 % all'Iniziativa sul denaro contante. Sì con il 64 % anche al controprogetto. I cittadini di Pollegio hanno però preferito l'iniziativa con il 57,6 % ."
5079,53,53,47,"Quinto (TI)","Sì col 60,5 % all'Iniziativa sul denaro contante. Sì con il 76,1 % anche al controprogetto. I cittadini di Quinto hanno però preferito l'inizaitiva con il 53 % ."
5091,56.5,56.5,43.5,"Ascona (TI)","È stata approvata col 60,6 % l'Iniziativa sul denaro contante. Sì con il 64,6 % anche al controprogetto. I cittadini di Ascona hanno però preferito l'inizaitiva con il 56,5 % ."
5096,46.4,46.4,53.6,"Brione sopra Minusio (TI)","Sì col 55,6 % all'Iniziativa sul denaro contante. Approvato con il 70,9 % anche il controprogetto. I cittadini di Brione sopra Minusio hanno però preferito il controprogetto con il 46,4 % ."
5097,53.9,53.9,46.1,"Brissago (TI)","È stata approvata col 59,4 % l'Iniziativa sul denaro contante. Sì con il 63,8 % anche al controprogetto. I cittadini di Brissago hanno però preferito l'inizaitiva con il 53,9 % ."
5108,50,0,0,"Gordola (TI)","I risultati di questo comune non sono ancora noti."
5112,52.9,52.9,47.1,"Lavertezzo (TI)","Sì col 55,7 % all'Iniziativa sul denaro contante. Approvato con il 72,7 % anche il controprogetto. I cittadini di Lavertezzo hanno però preferito l'inizaitiva con il 52,9 % ."
5113,54,54,46,"Locarno (TI)","Sì col 59,6 % all'Iniziativa sul denaro contante. Approvato con il 67 % anche il controprogetto. I cittadini di Locarno hanno però preferito l'inizaitiva con il 54 % ."
5115,51.6,51.6,48.4,"Losone (TI)","È stata approvata col 57,6 % l'Iniziativa sul denaro contante. Sì con il 70,4 % anche al controprogetto. I cittadini di Losone hanno però preferito l'inizaitiva con il 51,6 % ."
5117,63.3,63.3,36.7,"Mergoscia (TI)","Sì col 68,8 % all'Iniziativa sul denaro contante. Sì con il 66,3 % anche al controprogetto. I cittadini di Mergoscia hanno però preferito l'inizaitiva con il 63,3 % ."
5118,50,0,0,"Minusio (TI)","I risultati di questo comune non sono ancora noti."
5120,51.9,51.9,48.1,"Muralto (TI)","Sì col 59,9 % all'Iniziativa sul denaro contante. Sì con il 65,1 % anche al controprogetto. I cittadini di Muralto hanno però preferito l'iniziativa con il 51,9 % ."
