"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,27.7,27.7,72.3,"Arbedo-Castione (TI)","La popolazione di Arbedo-Castione respinge con il 72,3 per cento. Arbedo-Castione e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5002,30.9,30.9,69.1,"Bellinzona (TI)","La popolazione di Bellinzona respinge con il 69,1 per cento. Bellinzona e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5003,22.2,22.2,77.8,"Cadenazzo (TI)","Con il 77,8 per cento dei voti, l'iniziativa sul fondo per il clima è respinta a Cadenazzo. Cadenazzo e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5009,16.5,16.5,83.5,"Isone (TI)","A Isone l'iniziativa sul fondo per il clima è respinta con il 83,5 per cento. Isone e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5010,28.1,28.1,71.9,"Lumino (TI)","Con il 71,9 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Lumino. Lumino e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5017,23.3,23.3,76.7,"Sant'Antonino (TI)","Con il 76,7 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Sant'Antonino. Sant'Antonino e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5048,23.4,23.4,76.6,"Acquarossa (TI)","La popolazione di Acquarossa respinge con il 76,6 per cento. Acquarossa e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5049,18.4,18.4,81.6,"Blenio (TI)","La popolazione di Blenio respinge con il 81,6 per cento. Blenio e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5050,28,28,72,"Serravalle (TI)","Con il 72 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Serravalle. Serravalle e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5061,13.1,13.1,86.9,"Airolo (TI)","Con il 86,9 per cento dei voti, l'iniziativa sul fondo per il clima è respinta a Airolo. Airolo guida nel cantone Ticino per i contrari all'iniziativa sul fondo per il clima."
5063,13.5,13.5,86.5,"Bedretto (TI)","A Bedretto l'iniziativa sul fondo per il clima è respinto per 64 a 10 voti. Bedretto e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5071,24.3,24.3,75.7,"Dalpe (TI)","Con il 75,7 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Dalpe. Dalpe e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5072,23.1,23.1,76.9,"Faido (TI)","Con il 76,9 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Faido. Faido e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5073,26.9,26.9,73.1,"Giornico (TI)","La popolazione di Giornico respinge con il 73,1 per cento. Giornico e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5076,28.7,28.7,71.3,"Personico (TI)","Con il 71,3 per cento dei voti, Personico respinge l'iniziativa sul fondo per il clima. Personico e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5077,34.1,34.1,65.9,"Pollegio (TI)","Con il 65,9 per cento dei voti, l'iniziativa sul fondo per il clima è respinta a Pollegio. Pollegio e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5079,18.4,18.4,81.6,"Quinto (TI)","Con il 81,6 per cento dei voti, Quinto respinge l'iniziativa sul fondo per il clima. Quinto e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5091,25.6,25.6,74.4,"Ascona (TI)","La popolazione di Ascona respinge con il 74,4 per cento. Ascona e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5096,21.3,21.3,78.7,"Brione sopra Minusio (TI)","A Brione sopra Minusio l'iniziativa sul fondo per il clima è respinta con il 78,7 per cento. Brione sopra Minusio e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5097,22.9,22.9,77.1,"Brissago (TI)","La popolazione di Brissago respinge con il 77,1 per cento. Brissago e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5108,24.5,24.5,75.5,"Gordola (TI)","Con il 75,5 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Gordola. Gordola e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5112,21.6,21.6,78.4,"Lavertezzo (TI)","A Lavertezzo l'iniziativa sul fondo per il clima è respinta con il 78,4 per cento. Lavertezzo e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5113,32.1,32.1,67.9,"Locarno (TI)","A Locarno l'iniziativa sul fondo per il clima è respinta con il 67,9 per cento. Locarno e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5115,28.4,28.4,71.6,"Losone (TI)","Con il 71,6 per cento dei voti, l'iniziativa sul fondo per il clima è respinta a Losone. Losone e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5117,45,45,55,"Mergoscia (TI)","Con il 55 per cento dei voti, L'iniziativa sul fondo per il clima è respinta a Mergoscia. Mergoscia e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
5118,29.4,29.4,70.6,"Minusio (TI)","La popolazione di Minusio respinge con il 70,6 per cento. Minusio e il cantone Ticino bocciano l'iniziativa sul fondo per il clima."
