"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1201,0.2,0.2,99.8,"Altdorf UR",
1202,51.4,51.4,48.6,"Andermatt UR",
1203,56.8,56.8,43.2,"Attinghausen UR","58,5 Prozent der Abstimmenden in Attinghausen haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 56,8 Prozent."
1205,44.3,44.3,55.7,"Bürglen UR","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (65,9 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (55,7 Prozent Nein) haben in Bürglen UR eine Mehrheit gefunden."
1206,60.6,60.6,39.4,"Erstfeld UR","Erstfeld hat mit 63,8 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 60,6 Prozent."
1207,55.3,55.3,44.7,"Flüelen UR","66,9 Prozent der Abstimmenden in Flüelen haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 55,3 Prozent."
1208,86.6,86.6,13.4,"Göschenen UR",
1209,69.9,69.9,30.1,"Gurtnellen UR",
1210,82.6,82.6,17.4,"Hospental UR","Hospental hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 96 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 82,6 Prozent angenommen. Bei der Stichfrage haben sich die Stimmberechtigten mit 52,3 Prozent für die Initiative ausgesprochen."
1211,83.2,83.2,16.8,"Isenthal UR",
1212,5.2,5.2,94.8,"Realp UR","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (51,5 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (94,8 Prozent Nein) sind in Realp durchgefallen."
1213,50.1,50.1,49.9,"Schattdorf UR","Schattdorf hat sich mit 86,6 Prozent gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 50,1 Prozent angenommen."
1214,77.1,77.1,22.9,"Seedorf UR","Seedorf UR hat sich mit 90,6 Prozent gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 77,1 Prozent angenommen."
1215,84.8,84.8,15.2,"Seelisberg UR","79,1 Prozent der Abstimmenden in Seelisberg haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 84,8 Prozent."
1216,57.1,57.1,42.9,"Silenen UR",
1217,64,64,36,"Sisikon UR","Sisikon hat mit 71,6 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 64 Prozent."
1218,59.4,59.4,40.6,"Spiringen UR","Die Gemeinde Spiringen hat die Initiative ""Für ein Grundrecht auf digitale Integrität"" mit 67,9 Prozent und den Gegenvorschlag von Kantons- und Regierungsrat mit 59,4 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 64,7 Prozent für den Gegenvorschlag aus."
1219,52.3,52.3,47.7,"Unterschächen UR","Unterschächen hat mit 75,5 Prozent Nein gesagt Initiative ""Für ein Grundrecht auf digitale Integrität"". Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 52,3 Prozent."
1220,67.9,67.9,32.1,"Wassen UR","55,5 Prozent der Abstimmenden in Wassen haben sich gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 67,9 Prozent."
