"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1202,32.4,32.4,67.6,"Andermatt UR","NA NA"
1203,57.3,57.3,42.7,"Attinghausen UR","NA NA"
1205,75.1,75.1,24.9,"Bürglen UR","NA NA"
1207,25.6,25.6,74.4,"Flüelen UR","NA NA"
1208,83.2,83.2,16.8,"Göschenen UR","NA NA"
1209,44.6,44.6,55.4,"Gurtnellen UR","NA NA"
1210,66.8,66.8,33.2,"Hospental UR","NA NA"
1211,49.2,49.2,50.8,"Isenthal UR","NA NA"
1212,73.7,73.7,26.3,"Realp UR","NA NA"
1213,22.7,22.7,77.3,"Schattdorf UR","NA NA"
1214,28,28,72,"Seedorf UR","NA NA"
1215,17.2,17.2,82.8,"Seelisberg UR","NA NA"
1216,65.1,65.1,34.9,"Silenen UR","NA NA"
1217,16.4,16.4,83.6,"Sisikon UR","NA NA"
1218,98.2,98.2,1.8,"Spiringen UR","NA NA"
1206,65,65,35,"Erstfeld UR","NA NA"
1220,37.7,37.7,62.3,"Wassen UR","NA NA"
1201,54.7,54.7,45.3,"Altdorf UR","NA NA"
1219,54.4,54.4,45.6,"Unterschächen UR","NA NA"
