"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1202,58.8,58.8,41.2,"Andermatt UR","NA NA"
1203,54.4,54.4,45.6,"Attinghausen UR","NA NA"
1205,61.8,61.8,38.2,"Bürglen UR","NA NA"
1207,76.5,76.5,23.5,"Flüelen UR","NA NA"
1208,28.1,28.1,71.9,"Göschenen UR","NA NA"
1209,73,73,27,"Gurtnellen UR","NA NA"
1210,62.6,62.6,37.4,"Hospental UR","NA NA"
1211,56.6,56.6,43.4,"Isenthal UR","NA NA"
1212,91.4,91.4,8.6,"Realp UR","NA NA"
1213,84.9,84.9,15.1,"Schattdorf UR","NA NA"
1214,78.2,78.2,21.8,"Seedorf UR","NA NA"
1215,51.7,51.7,48.3,"Seelisberg UR","NA NA"
1216,46.4,46.4,53.6,"Silenen UR","NA NA"
1217,6.1,6.1,93.9,"Sisikon UR","NA NA"
1218,7.7,7.7,92.3,"Spiringen UR","NA NA"
1206,53.4,53.4,46.6,"Erstfeld UR","NA NA"
1220,93.3,93.3,6.7,"Wassen UR","NA NA"
1201,50.7,50.7,49.3,"Altdorf UR","NA NA"
1219,44.4,44.4,55.6,"Unterschächen UR","NA NA"
