"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6002,76.5,76.5,23.5,"Brig-Glis VS","Die Stimmberechtigten in Brig-Glis haben die Bargeldinitiative mit 50,9 Prozent angenommen und befürworten auch den Gegenvorschlag des Bundesrat und Parlaments mit 88,2 Prozent. Bei der Stichfrage gaben sie mit 76,5 Prozent der Initiative den Vorzug."
6004,87.5,87.5,12.5,"Eggerberg VS","Eggerberg hat sich mit 58,2 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 93,7 Prozent angenommen."
6007,59.6,59.6,40.4,"Naters VS","Naters hat sich mit 91,9 Prozent gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Bundesrat und Parlamentes hingegen wurde mit 79 Prozent angenommen."
6008,5.8,5.8,94.2,"Ried-Brig VS","Ried-Brig hat sowohl die Bargeldinitiative (51,5 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (92,6 Prozent Nein) abgelehnt."
6009,58.7,58.7,41.3,"Simplon VS","87,8 Prozent der Abstimmenden in Simplon haben sich gegen die Bargeldinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 71,6 Prozent."
6010,8,8,92,"Termen VS","Die Gemeinde Termen hat die Bargeldinitiative mit 53,1 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 59,3 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 92 Prozent für den Gegenvorschlag aus."
6011,15.3,15.3,84.7,"Zwischbergen VS","Die Bargeldinitiative hat in Zwischbergen mit 76,1 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 64,7 Prozent mehrheitlich abgelehnt."
6021,38.8,38.8,61.2,"Ardon VS","Ardon hat mit 71,2 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 93,6 Prozent."
6022,54.2,54.2,45.8,"Chamoson VS","In Chamoson hat weder die Bargeldinitiative (76,9 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (56,8 Prozent Nein) eine Mehrheit erzielt."
6023,48.2,48.2,51.8,"Conthey VS","Sowohl die Bargeldinitiative mit 81,4 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 74,7 Prozent Nein-Stimmen haben in Conthey die Mehrheit verfehlt."
6024,45.9,45.9,54.1,"Nendaz VS","Weder die Bargeldinitiative (71,2 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (57,7 Prozent Nein) haben in Nendaz eine Mehrheit gefunden."
6025,30,30,70,"Vétroz VS","In Vétroz hat weder die Bargeldinitiative (96,4 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (76,7 Prozent Nein) eine Mehrheit erzielt."
6032,79.8,79.8,20.2,"Bourg-Saint-Pierre VS","Sowohl die Bargeldinitiative mit 72,1 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 54,5 Prozent Nein-Stimmen haben in Bourg-Saint-Pierre die Mehrheit verfehlt."
6033,99.7,99.7,0.3,"Liddes VS","Liddes hat mit 86,5 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 56,1 Prozent."
6034,1.5,1.5,98.5,"Orsières VS","In Orsières hat die Stimmbevölkerung der Bargeldinitiative mit 88,4 Prozent zugestimmt. Eine Mehrheit von 94,6 Prozent lehnte den Gegenvorschlag von Bundesrat und Parlament ab."
6035,4.4,4.4,95.6,"Sembrancher VS","Weder die Bargeldinitiative (68,2 Prozent Nein) noch der Gegenvorschlag des Bundesrat und Parlaments (99,8 Prozent Nein) haben in Sembrancher eine Mehrheit gefunden."
6037,40.8,40.8,59.2,"Val de Bagnes VS","Die Bargeldinitiative hat in Val de Bagnes mit 70 Prozent Zustimmung gefunden. Der Gegenvorschlag von Bundesrat und Parlament wurde mit 73,9 Prozent mehrheitlich abgelehnt."
6052,39.3,39.3,60.7,"Bellwald VS","Die Stimmbürgerinnen und Stimmbürger von Bellwald stimmten mit 93,2 Prozent für die Bargeldinitiative und mit 79 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 60,7 Prozent für den Gegenvorschlag."
6054,66.6,66.6,33.4,"Binn VS","Sowohl die Bargeldinitiative (67 Prozent Nein) als auch den Gegenvorschlag des Bundesrat und Parlaments (67,5 Prozent Nein) sind in Binn durchgefallen."
