"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6002,2.7,2.7,97.3,"Brig-Glis VS","Keine Mehrheit für die Klimafondsinitiative in Brig-Glis: Mit 9'195 Nein-Stimmen zu 252 Ja-Stimmen oder 97,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Brig-Glis hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6004,75.1,75.1,24.9,"Eggerberg VS","Ja zur Klimafondsinitiative in Eggerberg: Mit 75,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Eggerberg hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6007,57.9,57.9,42.1,"Naters VS","Ja zur Klimafondsinitiative in Naters: Mit 57,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Naters hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6008,53.6,53.6,46.4,"Ried-Brig VS","Ja zur Klimafondsinitiative in Ried-Brig. Die Gemeinde hat das Volksbegehren mit 53,6 Prozent der Stimmen angenommen. Ried-Brig hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6009,2,2,98,"Simplon VS","Nein zur Klimafondsinitiative in Simplon. Die Gemeinde hat die Vorlage mit 98 Prozent abgelehnt. Simplon hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Wallis."
6010,39.4,39.4,60.6,"Termen VS","In Termen hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 60,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Termen hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6011,88,88,12,"Zwischbergen VS","In Zwischbergen hat die Stimmbevölkerung der Klimafondsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 88 Prozent angenommen. Zwischbergen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6021,11.8,11.8,88.2,"Ardon VS","In Ardon hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 88,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Ardon hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6022,57.3,57.3,42.7,"Chamoson VS","57,3 Prozent der Abstimmenden in der Gemeinde Chamoson haben Ja gesagt zur Klimafondsinitiative. Chamoson hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6023,38.4,38.4,61.6,"Conthey VS","Conthey hat die Klimafondsinitiative mit 61,6 Prozent abgelehnt. Conthey hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6024,64.5,64.5,35.5,"Nendaz VS","Die Stimmbevölkerung von Nendaz hat die Klimafondsinitiative mit 64,5 Prozent angenommen. Nendaz hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
