"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6002,73.2,73.2,26.8,"Brigue-Glis (VS)","L'initiative populaire pour réduire la redevance radio-TV à 200 francs par an recueille 73,2 pour cent de oui à Brigue-Glis. Brigue-Glis dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6004,46,46,54,"Eggerberg (VS)","Avec 54 pour cent des voix, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à Eggerberg. Eggerberg et le canton Valais rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6007,70.6,70.6,29.4,"Naters (VS)","Oui à 70,6 pour cent à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Naters. Naters dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6008,92.1,92.1,7.9,"Ried-Brig (VS)","La population de Ried-Brig approuve l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 92,1 pour cent. Ried-Brig dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6009,36.8,36.8,63.2,"Simplon (VS)","À Simplon, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est refusée à 63,2 pour cent. Simplon et le canton Valais rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6010,80.7,80.7,19.3,"Termen (VS)","À Termen, 80,7 pour cent des votants soutiennent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an. Termen dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6011,57,57,43,"Zwischbergen (VS)","À Zwischbergen, l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an est acceptée à 57 pour cent. Zwischbergen dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6021,27.8,27.8,72.2,"Ardon (VS)","Non à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à Ardon : 72,2 pour cent. Ardon et le canton Valais rejettent l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an."
6022,51.5,51.5,48.5,"Chamoson (VS)","L'initiative populaire pour réduire la redevance radio-TV à 200 francs par an recueille 51,5 pour cent de oui à Chamoson. Chamoson dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
6023,88.1,88.1,11.9,"Conthey (VS)","La population de Conthey approuve l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an à 88,1 pour cent. Conthey dit oui à l'initiative populaire pour réduire la redevance radio-TV à 200 francs par an, tandis que le canton Valais dit non."
