"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1701,46,46,54,"Baar ZG","Keine Mehrheit für die SRG-Initiative in Baar: Mit 9'746 Nein-Stimmen zu 8'294 Ja-Stimmen oder 54 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat die Ablehung in Baar im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 67 Prozent."
1702,0.7,0.7,99.3,"Cham ZG","In Cham hat die Stimmbevölkerung die SRG-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 99,3 Prozent verworfen. Damit ist in Cham die Ablehnung im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 gestiegen. Damals betrug der Nein-Stimmen-Anteil 68,2 Prozent."
1703,52.6,52.6,47.4,"Hünenberg ZG","Die Stimmbevölkerung von Hünenberg hat die SRG-Initiative mit 52,6 Prozent angenommen. Damit hat in Hünenberg seit der letzten Abstimmung über die No-Billag-Initiative im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,9 Prozent ein Nein in die Urne gelegt."
1704,12.6,12.6,87.4,"Menzingen ZG","Keine Mehrheit für die SRG-Initiative in Menzingen: Mit 4'970 Nein-Stimmen zu 716 Ja-Stimmen oder 87,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit ist in Menzingen die Ablehnung im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 gestiegen. Damals betrug der Nein-Stimmen-Anteil 68 Prozent."
1705,49.9,49.9,50.1,"Neuheim ZG","Neuheim hat die SRG-Initiative mit 50,1 Prozent abgelehnt. Damit hat die Ablehung in Neuheim im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 63,7 Prozent."
1706,27.3,27.3,72.7,"Oberägeri ZG","In Oberägeri hat die Stimmbevölkerung die SRG-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,7 Prozent verworfen. Damit ist in Oberägeri die Ablehnung im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 gestiegen. Damals betrug der Nein-Stimmen-Anteil 65,7 Prozent."
1707,38.8,38.8,61.2,"Risch ZG","Nein zur SRG-Initiative in Risch: Mit 7'364 Nein- zu 4'659 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 61,2 Prozent. Damit hat die Ablehung in Risch im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 62,6 Prozent."
1708,73.7,73.7,26.3,"Steinhausen ZG","In Steinhausen hat die Stimmbevölkerung der SRG-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 73,7 Prozent angenommen. Damit hat in Steinhausen seit der letzten Abstimmung über die No-Billag-Initiative im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 72 Prozent ein Nein in die Urne gelegt."
1709,53.8,53.8,46.2,"Unterägeri ZG","Die Gemeinde Unterägeri hat die SRG-Initiative mit 53,8 Prozent Ja-Stimmen angenommen. Damit hat in Unterägeri seit der letzten Abstimmung über die No-Billag-Initiative im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 67,2 Prozent ein Nein in die Urne gelegt."
1710,1.4,1.4,98.6,"Walchwil ZG","In Walchwil hat die Stimmbevölkerung die SRG-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 98,6 Prozent verworfen. Damit ist in Walchwil die Ablehnung im Vergleich zur Abstimmung über die No-Billag-Initiative im Jahr 2018 gestiegen. Damals betrug der Nein-Stimmen-Anteil 63,5 Prozent."
1711,52.4,52.4,47.6,"Zug ZG","Ja zur SRG-Initiative in Zug. Die Gemeinde hat das Volksbegehren mit 52,4 Prozent der Stimmen angenommen. Damit hat in Zug seit der letzten Abstimmung über die No-Billag-Initiative im Jahr 2018 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,3 Prozent ein Nein in die Urne gelegt."
