"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,24.7,24.7,75.3,"Aeugst am Albis ZH","Aeugst am Albis hat sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (96,9 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (54 Prozent Nein) abgelehnt."
2,51.5,51.5,48.5,"Affoltern am Albis ZH",
3,1.2,1.2,98.8,"Bonstetten ZH",
4,44.6,44.6,55.4,"Hausen am Albis ZH","61,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Initiative ""Für ein Grundrecht auf digitale Integrität"" und 96,9 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 55,4 Prozent dem Gegenvorschlag den Vorrang."
5,77.5,77.5,22.5,"Hedingen ZH","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (76 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (56,1 Prozent Nein) sind in Hedingen durchgefallen."
6,55.5,55.5,44.5,"Kappel am Albis ZH",
7,60.4,60.4,39.6,"Knonau ZH","Sowohl die Initiative ""Für ein Grundrecht auf digitale Integrität"" (73,1 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (54,3 Prozent Nein) sind in Knonau durchgefallen."
8,39,39,61,"Maschwanden ZH",
9,43.1,43.1,56.9,"Mettmenstetten ZH","Mettmenstetten hat mit 65,6 Prozent Ja gesagt zur Initiative ""Für ein Grundrecht auf digitale Integrität"". Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 51,3 Prozent ab."
10,5.1,5.1,94.9,"Obfelden ZH","Weder die Initiative ""Für ein Grundrecht auf digitale Integrität"" (90,4 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (65,1 Prozent Nein) haben in Obfelden eine Mehrheit gefunden."
11,68,68,32,"Ottenbach ZH","Ottenbach hat sich mit 92,1 Prozent gegen die Initiative ""Für ein Grundrecht auf digitale Integrität"" ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 85 Prozent angenommen."
