"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,23.8,23.8,76.2,"Aeugst am Albis ZH","In Aeugst am Albis hat die Klimafondsinitiative keine Mehrheit gefunden. Auf 76,2 Prozent der abgegebenen Stimmzettel stand ein Nein."
2,50,0,0,"Affoltern am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3,50,0,0,"Bonstetten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
4,50,0,0,"Hausen am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
5,50,0,0,"Hedingen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
6,20.4,20.4,79.6,"Kappel am Albis ZH","Keine Mehrheit für die Klimafondsinitiative in Kappel am Albis: Mit 440 Nein-Stimmen zu 113 Ja-Stimmen oder 79,6 Prozent hat die Gemeinde das Volksbegehren verworfen."
7,50,0,0,"Knonau ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
8,27.2,27.2,72.8,"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,8 Prozent verworfen."
9,25,25,75,"Mettmenstetten ZH","Nein zur Klimafondsinitiative in Mettmenstetten. Die Gemeinde hat die Vorlage mit 75 Prozent abgelehnt."
10,25.4,25.4,74.6,"Obfelden ZH","Nein zur Klimafondsinitiative in Obfelden. Die Gemeinde hat die Vorlage mit 74,6 Prozent abgelehnt."
11,22.3,22.3,77.7,"Ottenbach ZH","77,7 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach haben Nein gesagt zur Klimafondsinitiative."
12,50,0,0,"Rifferswil ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
13,22.3,22.3,77.7,"Stallikon ZH","Nein zur Klimafondsinitiative in Stallikon. Die Gemeinde hat die Vorlage mit 77,7 Prozent abgelehnt."
14,50,0,0,"Wettswil am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
22,50,0,0,"Benken ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
23,50,0,0,"Berg am Irchel ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
24,16.4,16.4,83.6,"Buch am Irchel ZH","Nein zur Klimafondsinitiative in Buch am Irchel: Mit 445 Nein- zu 87 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 83,6 Prozent."
25,50,0,0,"Dachsen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
26,16.6,16.6,83.4,"Dorf ZH","In Dorf hat die Stimmbevölkerung die Klimafondsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 83,4 Prozent verworfen."
27,50,0,0,"Feuerthalen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
28,50,0,0,"Flaach ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
29,50,0,0,"Flurlingen ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
31,22.8,22.8,77.2,"Henggart ZH","Keine Mehrheit für die Klimafondsinitiative in Henggart: Mit 810 Nein-Stimmen zu 239 Ja-Stimmen oder 77,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
