"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",53.2,46.8,100,160,67,"67/160","Es sind <b>67 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>67 des 160 communes sont connus.","I risultati di <b>67 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,329,0,"0/329","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",52.3,47.7,100,79,77,"77/79","Es sind <b>77 von 79</b> Gemeinden ausgezählt.","Le résultats de <b>77 des 79 communes sont connus.","I risultati di <b>77 dei 79 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",35.6,64.4,0,30,22,"22/30","Es sind <b>22 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>22 des 30 communes sont connus.","I risultati di <b>22 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",54.9,45.1,100,119,92,"92/119","Es sind <b>92 von 119</b> Gemeinden ausgezählt.","Le résultats de <b>92 des 119 communes sont connus.","I risultati di <b>92 dei 119 comuni sono noti."
11,"Solothurn","Soleure","Soletta",51.1,48.9,100,104,81,"81/104","Es sind <b>81 von 104</b> Gemeinden ausgezählt.","Le résultats de <b>81 des 104 communes sont connus.","I risultati di <b>81 dei 104 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",66.8,33.2,100,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",50.5,49.5,100,86,55,"55/86","Es sind <b>55 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>55 des 86 communes sont connus.","I risultati di <b>55 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",40.8,59.2,0,75,42,"42/75","Es sind <b>42 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>42 des 75 communes sont connus.","I risultati di <b>42 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",47.8,52.2,0,100,99,"99/100","Es sind <b>99 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>99 des 100 communes sont connus.","I risultati di <b>99 dei 100 comuni sono noti."
19,"Aargau","Argovie","Argovia",48.3,51.7,0,196,190,"190/196","Es sind <b>190 von 196</b> Gemeinden ausgezählt.","Le résultats de <b>190 des 196 communes sont connus.","I risultati di <b>190 dei 196 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",37.6,62.4,0,80,53,"53/80","Es sind <b>53 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>53 des 80 communes sont connus.","I risultati di <b>53 dei 80 comuni sono noti."
21,"Tessin","Tessin","Ticino",45.7,54.3,0,100,66,"66/100","Es sind <b>66 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>66 des 100 communes sont connus.","I risultati di <b>66 dei 100 comuni sono noti."
22,"Waadt","Vaud","Vaud",65.7,34.3,100,300,208,"208/300","Es sind <b>208 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>208 des 300 communes sont connus.","I risultati di <b>208 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",47.1,52.9,0,122,116,"116/122","Es sind <b>116 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>116 des 122 communes sont connus.","I risultati di <b>116 dei 122 comuni sono noti."
