"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",41.1,58.9,0,160,35,"35/160","Es sind <b>35 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>35 des 160 communes sont connus.","I risultati di <b>35 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,329,0,"0/329","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",36.3,63.7,0,79,50,"50/79","Es sind <b>50 von 79</b> Gemeinden ausgezählt.","Le résultats de <b>50 des 79 communes sont connus.","I risultati di <b>50 dei 79 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",49.8,50.2,0,30,14,"14/30","Es sind <b>14 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>14 des 30 communes sont connus.","I risultati di <b>14 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",39.9,60.1,0,119,40,"40/119","Es sind <b>40 von 119</b> Gemeinden ausgezählt.","Le résultats de <b>40 des 119 communes sont connus.","I risultati di <b>40 dei 119 comuni sono noti."
